Address,Name,Width,Access,Reset,Bit_or_Field,Semantics,Clock_Domain,Clear_Rule,Status
"0x3800","C2H_MAGIC","32","RO","0x43324831","[31:0]","Constant ASCII C2H1 page identity for a conforming G2B build.","axi_aclk","Constant; restored by hard reset.","FROZEN"
"0x3804","ABI_VERSION","32","RO","0x00010000","[31:0]","Contract-negotiation ABI version 1.0 with major in bits 31:16 and minor in bits 15:0; record headers independently use record_version 0x00004101.","axi_aclk","Constant; restored by hard reset.","FROZEN"
"0x3808","CAPABILITIES","32","RO","0x000B001F","[31:0] summary","Supported bits 4:0 are all one; implemented-this-build bits 19 17 and 16 are one; bit 18 and all reserved bits are zero.","axi_aclk","Constant for conforming G2B build.","FROZEN"
"0x3808","CAPABILITIES.C2H_SUPPORTED","1","RO","1","bit 0","Product architecture supports application C2H.","axi_aclk","Constant.","FROZEN"
"0x3808","CAPABILITIES.RECORD_ABI_V1_SUPPORTED","1","RO","1","bit 1","AHD_C2H_TRANSPORT_ABI_V1 is supported.","axi_aclk","Constant.","FROZEN"
"0x3808","CAPABILITIES.ONE_CHANNEL_SUPPORTED","1","RO","1","bit 2","Logical channel 0 operation is supported.","axi_aclk","Constant.","FROZEN"
"0x3808","CAPABILITIES.TWO_CHANNEL_ABI_CAPABLE","1","RO","1","bit 3","ABI represents channels 0 and 1; this is not an implementation claim.","axi_aclk","Constant.","FROZEN"
"0x3808","CAPABILITIES.GEN2_CAPABLE","1","RO","1","bit 4","Accepted endpoint configuration is Gen2-capable.","axi_aclk","Constant.","FROZEN"
"0x3808","CAPABILITIES.RESERVED_ZERO_LOW","11","RO","0","bits 15:5","Reserved; reads zero and writes are ignored.","axi_aclk","Constant zero.","FROZEN_RESERVED_ZERO"
"0x3808","CAPABILITIES.C2H_IMPLEMENTED_THIS_BUILD","1","RO","1","bit 16","The conforming G2B build contains the C2H transport path.","axi_aclk","Constant for build.","FROZEN"
"0x3808","CAPABILITIES.ONE_CHANNEL_IMPLEMENTED_THIS_BUILD","1","RO","1","bit 17","Logical channel 0 data plane is implemented in the conforming G2B build.","axi_aclk","Constant for build.","FROZEN"
"0x3808","CAPABILITIES.TWO_CHANNEL_IMPLEMENTED_THIS_BUILD","1","RO","0","bit 18","Two-channel data plane and scheduler are not implemented.","axi_aclk","Constant zero.","FROZEN_NOT_IMPLEMENTED"
"0x3808","CAPABILITIES.GEN2_CONFIGURED_THIS_BUILD","1","RO","1","bit 19","Build uses the accepted Gen2 endpoint configuration.","axi_aclk","Constant for build.","FROZEN"
"0x3808","CAPABILITIES.RESERVED_ZERO_HIGH","12","RO","0","bits 31:20","Reserved; reads zero and writes are ignored.","axi_aclk","Constant zero.","FROZEN_RESERVED_ZERO"
"0x380C","CONTROL.ENABLE_C2H","1","RW","0","bit 0","Stored enable request; admission additionally requires source ready and locked reset idle no fatal error and a writable slot. Stable-data request/ack applies the gate in the source domain before AXI BVALID and stored readback update. Disable acknowledgement prevents later old-enable allocations; an existing FILLING attempt may finish and drain. A write of 1 while FATAL_ERROR=1 is ignored and stored enable remains 0.","axi_aclk control through acknowledged stable-data mailbox to source admission gate","Host writes 0; fatal error; RESET_STREAM_STATE; FPGA configuration or PCIe/axi hard reset. Fatal/stream reset also clear the applied gate through the defined handshake.","FROZEN"
"0x380C","CONTROL.RESET_C2H_STATS","1","W1S/RO0","0","bit 1","Atomic statistics-reset command. Legal only when ENABLE_C2H=0 C2H_ACTIVE=0 RING_EMPTY=1 STREAM_RESET_BUSY=0 and SNAPSHOT_BUSY=0; otherwise ignored and sets TRANSPORT_ERROR with cause STATS_RESET_REJECTED. A busy reset or snapshot is neither canceled nor altered by the rejected command. If simultaneously accepted with RESET_STREAM_STATE the statistics clear is applied first. A later standalone non-hard reset waits behind the clear; hard reset dominates and may abort the write.","axi_aclk with acknowledged all-domain counter-clear mailboxes","Pulse has no stored state. AXI BVALID waits for every clear acknowledgement and atomic shadow clear. An accepted command clears MMIO numeric counters sequence shadows snapshot generation and LAST_ERROR_CAUSE; it retains ERROR_STATUS RESET_EPOCH ring state and record-header source lifetime counters.","FROZEN"
