ReferenceOrder,OperationID,Phase,OperationType,Bank,Register,DifferentialClass,Justification
1,REF-001,COMMON,BANK_SELECT,UNKNOWN_ENTRY_BANK,0xFF,NO_OP_AGAINST_CURRENT_BASELINE,no retained operation depends on this bank selection
2,REF-002,COMMON,WRITE,0x00,0x00,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
3,REF-003,COMMON,WRITE,0x00,0x22,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
4,REF-004,COMMON,WRITE,0x00,0x23,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
5,REF-005,COMMON,WRITE,0x00,0x30,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
6,REF-006,COMMON,WRITE,0x00,0x34,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
7,REF-007,COMMON,WRITE,0x00,0x93,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
8,REF-008,COMMON,WRITE,0x00,0xA4,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
10,REF-010,COMMON,WRITE,0x05,0x00,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
11,REF-011,COMMON,WRITE,0x05,0x01,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
14,REF-014,COMMON,WRITE,0x05,0x0E,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
16,REF-016,COMMON,WRITE,0x05,0x23,NO_OP_AGAINST_CURRENT_BASELINE,final whole-byte state already equals the target
17,REF-017,COMMON,WRITE,0x05,0x2A,NO_OP_AGAINST_CURRENT_BASELINE,superseded by a later final write; no separate pulse or re-arm authority
