Bank,Register,CurrentBaselineClass,ExpectedBaselineValue,VerificationMethod,Authority,Result
GLOBAL,0xFF,SYMBOLIC_UNKNOWN_BITS,CAPTURED_ENTRY_BANK,exact readback,CURRENT_V41_ENTRY_BANK_RESTORE,PASS
0x00,0x18,KNOWN_FINAL_VALUE,0x14,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x00,0x21,KNOWN_FINAL_VALUE,0x02,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x00,0x22,NOT_WRITTEN_BY_CURRENT_V41,UNKNOWN,NONE,NO_RESET_DEFAULT_OR_READ_AUTHORITY,BLOCKED
0x00,0x58,KNOWN_FINAL_VALUE,0x30,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x00,0x5C,KNOWN_FINAL_VALUE,0x1E,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x00,0x64,KNOWN_FINAL_VALUE,0x2D,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x00,0x8E,KNOWN_FINAL_VALUE,0x30,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x00,0xA0,KNOWN_FINAL_VALUE,0x18,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x02,0x02,KNOWN_FINAL_VALUE,0x03,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x02,0x28,KNOWN_FINAL_VALUE,0x00,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x02,0x29,KNOWN_FINAL_VALUE,0x2D,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x02,0x2A,KNOWN_FINAL_VALUE,0x0C,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x02,0x2C,KNOWN_FINAL_VALUE,0x27,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
0x05,0x01,KNOWN_FINAL_VALUE,0x00,deterministic rewrite plus ACK/error check,CURRENT_V41_DETERMINISTIC_WRITE,PASS
