trial_number,trial_id,status,counted,control,manual_reset_receipt,owner_confirmation,power_reset_method,firmware_identity,bitstream_sha256,init_done,init_error,waddr_nack,regaddr_nack,data_nack,retry_count,recovered_count,retry_exhausted,scl_timeout,video_present,frame_rate_hz,reason
1,R2-COLD-C3-01,NOT_RUN,NO,OWNER_MEDIATED_MANUAL_RESET,NONE,NONE,NOT_PERFORMED,NOT_PROGRAMMED,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3_NON_CLEAN_SUSPEND_BLOCK_BEFORE_COLD_START_PHASE
2,R2-COLD-C3-02,NOT_RUN,NO,OWNER_MEDIATED_MANUAL_RESET,NONE,NONE,NOT_PERFORMED,NOT_PROGRAMMED,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3_NON_CLEAN_SUSPEND_BLOCK_BEFORE_COLD_START_PHASE
3,R2-COLD-C3-03,NOT_RUN,NO,OWNER_MEDIATED_MANUAL_RESET,NONE,NONE,NOT_PERFORMED,NOT_PROGRAMMED,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3_NON_CLEAN_SUSPEND_BLOCK_BEFORE_COLD_START_PHASE
4,R2-COLD-C3-04,NOT_RUN,NO,OWNER_MEDIATED_MANUAL_RESET,NONE,NONE,NOT_PERFORMED,NOT_PROGRAMMED,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3_NON_CLEAN_SUSPEND_BLOCK_BEFORE_COLD_START_PHASE
5,R2-COLD-C3-05,NOT_RUN,NO,OWNER_MEDIATED_MANUAL_RESET,NONE,NONE,NOT_PERFORMED,NOT_PROGRAMMED,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3_NON_CLEAN_SUSPEND_BLOCK_BEFORE_COLD_START_PHASE
6,R2-COLD-C3-06,NOT_RUN,NO,OWNER_MEDIATED_MANUAL_RESET,NONE,NONE,NOT_PERFORMED,NOT_PROGRAMMED,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3_NON_CLEAN_SUSPEND_BLOCK_BEFORE_COLD_START_PHASE
7,R2-COLD-C3-07,NOT_RUN,NO,OWNER_MEDIATED_MANUAL_RESET,NONE,NONE,NOT_PERFORMED,NOT_PROGRAMMED,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3_NON_CLEAN_SUSPEND_BLOCK_BEFORE_COLD_START_PHASE
8,R2-COLD-C3-08,NOT_RUN,NO,OWNER_MEDIATED_MANUAL_RESET,NONE,NONE,NOT_PERFORMED,NOT_PROGRAMMED,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3_NON_CLEAN_SUSPEND_BLOCK_BEFORE_COLD_START_PHASE
9,R2-COLD-C3-09,NOT_RUN,NO,OWNER_MEDIATED_MANUAL_RESET,NONE,NONE,NOT_PERFORMED,NOT_PROGRAMMED,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3_NON_CLEAN_SUSPEND_BLOCK_BEFORE_COLD_START_PHASE
10,R2-COLD-C3-10,NOT_RUN,NO,OWNER_MEDIATED_MANUAL_RESET,NONE,NONE,NOT_PERFORMED,NOT_PROGRAMMED,F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,C3_NON_CLEAN_SUSPEND_BLOCK_BEFORE_COLD_START_PHASE
