EntryIndex,Group,Bank,Register,ChannelScope,Meaning,AuthorityClass,InterpretationUnresolved,Operation
0,G0-PRE,0x00,0xA8,ALL_CH_BITS,NOVID pre-bookend,NVP6134C_DATASHEET,NO,READ_ONLY
1,G0-ID,0x00,0xF4,CHIP,device ID,NVP6134C_DATASHEET,NO,READ_ONLY
2,G0-ID,0x00,0xF5,CHIP,revision ID,NVP6134C_DATASHEET,NO,READ_ONLY
3,G0-ID,0x00,0x80,CHIP,per-channel register control mask,NVP6134C_DATASHEET,NO,READ_ONLY
4,G0-LOCK,0x00,0xA8,CHIP_OR_PACKED_CHANNELS,NOVID live status,NVP6134C_DATASHEET,NO,READ_ONLY
5,G0-LOCK,0x00,0xB0,CHIP_OR_PACKED_CHANNELS,latched/held NOVID status; B0 itself is not a documented clear trigger,NVP6134C_DATASHEET,NO,READ_ONLY
6,G0-LOCK,0x00,0xE0,CHIP_OR_PACKED_CHANNELS,AGC lock bits,NVP6134C_DATASHEET,NO,READ_ONLY
7,G0-LOCK,0x00,0xE1,CHIP_OR_PACKED_CHANNELS,clamp/comparator lock bits,NVP6134C_DATASHEET,NO,READ_ONLY
8,G0-LOCK,0x00,0xE2,CHIP_OR_PACKED_CHANNELS,horizontal lock bits,NVP6134C_DATASHEET,NO,READ_ONLY
9,G0-LOCK,0x00,0x7A,CHIP_OR_PACKED_CHANNELS,channel 1/2 data-out mode,NVP6134C_DATASHEET,NO,READ_ONLY
10,G0-LOCK,0x00,0x7B,CHIP_OR_PACKED_CHANNELS,channel 3/4 data-out mode,NVP6134C_DATASHEET,NO,READ_ONLY
11,G0-CH,0x00,0xE8,CH1,FSC change/color-kill/FSC-lock/NOVID packed status,NVP6134C_DATASHEET,NO,READ_ONLY
12,G0-CH,0x00,0x81,CH1,SD/AHD mode selection,NVP6134C_DATASHEET,NO,READ_ONLY
13,G0-CH,0x00,0x85,CH1,special-mode selection,NVP6134C_DATASHEET,NO,READ_ONLY
14,G0-CH,0x00,0x23,CH1,YC/color-kill configuration readback,NVP6134C_DATASHEET,NO,READ_ONLY
15,G0-CH,0x00,0xE9,CH2,FSC change/color-kill/FSC-lock/NOVID packed status,NVP6134C_DATASHEET,NO,READ_ONLY
16,G0-CH,0x00,0x82,CH2,SD/AHD mode selection,NVP6134C_DATASHEET,NO,READ_ONLY
17,G0-CH,0x00,0x86,CH2,special-mode selection,NVP6134C_DATASHEET,NO,READ_ONLY
18,G0-CH,0x00,0x27,CH2,YC/color-kill configuration readback,NVP6134C_DATASHEET,NO,READ_ONLY
19,G0-CH,0x00,0xEA,CH3,FSC change/color-kill/FSC-lock/NOVID packed status,NVP6134C_DATASHEET,NO,READ_ONLY
20,G0-CH,0x00,0x83,CH3,SD/AHD mode selection,NVP6134C_DATASHEET,NO,READ_ONLY
21,G0-CH,0x00,0x87,CH3,special-mode selection,NVP6134C_DATASHEET,NO,READ_ONLY
22,G0-CH,0x00,0x2B,CH3,YC/color-kill configuration readback,NVP6134C_DATASHEET,NO,READ_ONLY
23,G0-CH,0x00,0xEB,CH4,FSC change/color-kill/FSC-lock/NOVID packed status,NVP6134C_DATASHEET,NO,READ_ONLY
24,G0-CH,0x00,0x84,CH4,SD/AHD mode selection,NVP6134C_DATASHEET,NO,READ_ONLY
25,G0-CH,0x00,0x88,CH4,special-mode selection,NVP6134C_DATASHEET,NO,READ_ONLY
26,G0-CH,0x00,0x2F,CH4,YC/color-kill configuration readback,NVP6134C_DATASHEET,NO,READ_ONLY
27,G1,0x01,0x97,PACKED_CHANNELS,channel reset/power control,NVP6134C_DATASHEET,NO,READ_ONLY
28,G1,0x01,0x98,PACKED_CHANNELS,channel reset/power control,NVP6134C_DATASHEET,NO,READ_ONLY
29,G1,0x01,0x84,CH1,ADC clock selection,NVP6134C_DATASHEET,NO,READ_ONLY
30,G1,0x01,0x8C,CH1,pre/decoder clock selection,NVP6134C_DATASHEET,NO,READ_ONLY
31,G1,0x01,0x85,CH2,ADC clock selection,NVP6134C_DATASHEET,NO,READ_ONLY
32,G1,0x01,0x8D,CH2,pre/decoder clock selection,NVP6134C_DATASHEET,NO,READ_ONLY
33,G1,0x01,0x86,CH3,ADC clock selection,NVP6134C_DATASHEET,NO,READ_ONLY
34,G1,0x01,0x8E,CH3,pre/decoder clock selection,NVP6134C_DATASHEET,NO,READ_ONLY
35,G1,0x01,0x87,CH4,ADC clock selection,NVP6134C_DATASHEET,NO,READ_ONLY
36,G1,0x01,0x8F,CH4,pre/decoder clock selection,NVP6134C_DATASHEET,NO,READ_ONLY
37,G2,0x05,0xF0,CH1,raw video-format classifier,NVP6134C_DATASHEET,NO,READ_ONLY
38,G2,0x05,0xF2,CH1,format conversion auxiliary,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
39,G2,0x05,0xF3,CH1,special-format discriminator,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
40,G2,0x05,0xF4,CH1,special-format vertical-count discriminator,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
41,G2,0x05,0xF5,CH1,special-format vertical-count discriminator,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
42,G2,0x05,0xE2,CH1,ACC gain high byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
43,G2,0x05,0xE3,CH1,ACC gain low byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
44,G2,0x05,0xE8,CH1,Y-plus slope high bits,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
45,G2,0x05,0xE9,CH1,Y-plus slope low byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
46,G2,0x05,0xEA,CH1,Y-minus slope high bits,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
47,G2,0x05,0xEB,CH1,Y-minus slope low byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
48,G3,0x06,0xF0,CH2,raw video-format classifier,NVP6134C_DATASHEET,NO,READ_ONLY
49,G3,0x06,0xF2,CH2,format conversion auxiliary,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
50,G3,0x06,0xF3,CH2,special-format discriminator,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
51,G3,0x06,0xF4,CH2,special-format vertical-count discriminator,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
52,G3,0x06,0xF5,CH2,special-format vertical-count discriminator,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
53,G3,0x06,0xE2,CH2,ACC gain high byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
54,G3,0x06,0xE3,CH2,ACC gain low byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
55,G3,0x06,0xE8,CH2,Y-plus slope high bits,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
56,G3,0x06,0xE9,CH2,Y-plus slope low byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
57,G3,0x06,0xEA,CH2,Y-minus slope high bits,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
58,G3,0x06,0xEB,CH2,Y-minus slope low byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
59,G4,0x07,0xF0,CH3,raw video-format classifier,NVP6134C_DATASHEET,NO,READ_ONLY
60,G4,0x07,0xF2,CH3,format conversion auxiliary,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
61,G4,0x07,0xF3,CH3,special-format discriminator,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
62,G4,0x07,0xF4,CH3,special-format vertical-count discriminator,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
63,G4,0x07,0xF5,CH3,special-format vertical-count discriminator,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
64,G4,0x07,0xE2,CH3,ACC gain high byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
65,G4,0x07,0xE3,CH3,ACC gain low byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
66,G4,0x07,0xE8,CH3,Y-plus slope high bits,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
67,G4,0x07,0xE9,CH3,Y-plus slope low byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
68,G4,0x07,0xEA,CH3,Y-minus slope high bits,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
69,G4,0x07,0xEB,CH3,Y-minus slope low byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
70,G5,0x08,0xF0,CH4,raw video-format classifier,NVP6134C_DATASHEET,NO,READ_ONLY
71,G5,0x08,0xF2,CH4,format conversion auxiliary,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
72,G5,0x08,0xF3,CH4,special-format discriminator,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
73,G5,0x08,0xF4,CH4,special-format vertical-count discriminator,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
74,G5,0x08,0xF5,CH4,special-format vertical-count discriminator,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
75,G5,0x08,0xE2,CH4,ACC gain high byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
76,G5,0x08,0xE3,CH4,ACC gain low byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
77,G5,0x08,0xE8,CH4,Y-plus slope high bits,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
78,G5,0x08,0xE9,CH4,Y-plus slope low byte,REFERENCE_DRIVER_SEMANTICS,YES,READ_ONLY
