Item_ID,File_or_Asset,R1i_State,XDMA_Donor_State,Comparison_Base_vs_R1i,Comparison_Old_v41_vs_R1i,Decision_Area,Conflict_With_R1i,Recommended_Treatment,Evidence
"C001","rtl/nvp/nvp6134c_i2c_bringup.vhd","Qualified R1i blob SHA-256 C7AA56E8BC546DD0173FF79FA6E3376DEE607B2DDFDA3F52FD1503C05FFC6C68","Pre-R1i v40.1 implementation in base/dev","R1I_ONLY_CHANGE","BOTH_CHANGED_CONFLICT","Preserve the complete qualified ACK-readiness, STOP/retry, timeout, bank-safety, and telemetry behavior","YES","Use the exact reconstructed R1i tree; do not transplant the donor version","Public ordered patch chain reconstructs R1i tree 70d801fd7a879080da399bfa9ee95fd6eb008e16"
"C002","rtl/nvp/nvp6134c_autoinit.vhd","Qualified R1i blob SHA-256 FCB5F98955F0507C095E774FA9E3048ACD34D07DF5EA40B6B8EEA715B649D5E5","Pre-R1i v40.1 sequencer in base/dev","R1I_ONLY_CHANGE","BOTH_CHANGED_CONFLICT","Preserve the inherited initialization-table behavior and the R1i telemetry exports; retry/backoff semantics reside in bringup","YES","Use exact reconstructed R1i autoinit and preserve the unchanged initialization table","R1i frozen same-session A1/B1 campaign STRONG_PASS"
"C003","rtl/top/ahd_capture_top_xdma.sv","Qualified R1i blob SHA-256 5E60D388BB9516E3AC2C86F0761901C0669DE4DC40121B2423A36E4445C66DF4","Migrated XDMA endpoint/top before R1i; DMA streams tied off","R1I_ONLY_CHANGE","BOTH_CHANGED_CONFLICT","Preserve R1i clock/reset/NVP wiring and telemetry while adding future DMA logic around it","YES","Treat the R1i top as the functional baseline and the donor as PCIe/XDMA provenance","R1i routed build and hardware PASS; donor Phase 2 PCIe/MMIO PASS"
"C004","rtl/v41/control_status_regs.sv","Qualified R1i blob SHA-256 77B63935A7042D74A11A85C2220715F87CF58EF7B42AF34D8D47BF04A6870A16; page 0x3600..0x367f","Base/dev and old-v41 share the pre-R1i register mux","R1I_ONLY_CHANGE","R1I_ONLY_CHANGE","Preserve the legacy map through 0x35ff and the R1i read-only overlay","YES","Use R1i; extend only under a separately reviewed register-map decision","Focused R1i MMIO simulations and hardware telemetry reads PASS"
"C005","ip/v41/xdma_v41_m1.xci","Unchanged from XDMA donor","XDMA 4.2 Gen1 x1, 64-bit AXI-Stream, one C2H, mandatory one H2C, AXI-Lite 128 KiB","UNCHANGED","UNCHANGED","No source conflict; architecture capability and throughput remain decisions","NO","Reuse exact XCI after tool/IP/environment revalidation; do not rely on Tcl regeneration alone","XCI SHA-256 EA651CA26A2FE4AA5201A5E88BA41D9BD737A3BF19D58AA89394D1CB8C1B0A7C"
"C006","scripts/v41/xdma_config_common.tcl","Unchanged from donor","Common XDMA configuration/check helper","UNCHANGED","UNCHANGED","Helper does not explicitly pin or check every effective XCI property","NO","Use as a check/reference with the exact XCI; revalidate if regenerating","SHA-256 3A762136852C9CC9ABF8B97DD6DE29647B3D2D73210757D4346774462126CDC7"
"C007","scripts/v41/phase3_build.tcl","R1i uses a dedicated r1i_build.tcl harness","Dev adds provenance-only SHA preflight over the base script","XDMA_ONLY_CHANGE","XDMA_ONLY_CHANGE","Choose how to compose exact R1i sources with dev provenance checks","YES","Secondary donor only; port the proven provenance intent and revalidate","dev/v41-xdma-offline-next 8464af66611f7c22b8a36a4aab915d598eedda3f"
"C008","scripts/v41/r1i_build.tcl","Qualified R1i build harness SHA-256 7A0CFE16F76A711E793C5155186339378D65C2C26E45F7E21C6A9F09476758F","Absent from XDMA donor","R1I_ONLY_CHANGE","R1I_ONLY_CHANGE","No direct conflict; build-source composition is required","NO","Reuse exact R1i harness as the G3 oracle, then deliberately integrate XDMA build assets","R1i final build WNS +0.617 ns, WHS +0.036 ns, routed and DRC clean"
"C009","scripts/v41/r1i_vivado_portable_launch.ps1","Qualified portable launcher SHA-256 7816937D5D236779B23D503E446AAFD6AA05FB74C89D67FD09513762A0CE948F","Absent from donor","R1I_ONLY_CHANGE","R1I_ONLY_CHANGE","No source conflict","NO","Reuse after environment-path review","Published R1i source/bit provenance PASS"
"C010","scripts/v41/read_nvp_r1i.py","Qualified telemetry reader SHA-256 E217E43BEBD7B69AC21B7C48B9E9BD59A2A2CE4D71347438082F95E34BEF6934","Older Phase 2/3 MMIO readers in donor","R1I_ONLY_CHANGE","BOTH_CHANGED_COMPATIBLE","Retain R1i decoder and keep host access mechanics explicit","NO","Reuse R1i decoder; reuse donor driver/MMIO setup only after host revalidation","R1i A1/B1 raw telemetry and decoded reports are published"
