RuleID,CanonicalLeafFamily,LegacyR2FamilyAlias,ParentFamily,Field,AllowedPhysicalSourceBase,PhysicalCellFullmatchRegex,AllowedIndices,SourceClock,DestinationClock,StartpointRole,AllowedUseRoles,GoverningToken,Protocol,EarliestUseBarrier,ExceptionClass,ExceptionRequirementNs,ReplacementGroup,AuthorityStatus,AuthorityEvidence
SF001,RESET_COMMIT_STABLE_PAYLOAD,,NONE,COMMIT_PHASE,G2B_ONECH_C2H/reset_commit_phase_hold_source_reg,^G2B_ONECH_C2H/reset_commit_phase_hold_source_reg\[(?P<bit>[0-3])\]$,slot=bit=0..3,nvp_vclk1,userclk1,PAYLOAD,RESET_RETURN_COMPLETION,commit_sync2_axi[3:0]_completion_barrier,transport request/ack plus synchronized four-slot commit equality,GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP,Max Delay Datapath Only,6.000,GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER,GOVERNED_R2_AND_GROUP_13,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-g13a-reset-return-signoff-audit\G2B_G13A_RESET_SEMANTIC_PROOF.md
SF002,RESET_ABANDONED_COUNT_STABLE_PAYLOAD,,NONE,COUNT,G2B_ONECH_C2H/reset_abandoned_hold_source_reg,^G2B_ONECH_C2H/reset_abandoned_hold_source_reg\[(?P<bit>[0-2])\]$,bit=0..2,nvp_vclk1,userclk1,PAYLOAD,RESET_RETURN_COMPLETION,transport_ack_sync2_axi_and_commit_sync2_axi_completion,transport request/ack plus synchronized commit completion,GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP,Max Delay Datapath Only,6.000,GROUP_13_CHECK_4_RESET_ABANDONED_COUNT_STABLE_PAYLOAD,GOVERNED_R2_AND_GROUP_13,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-g13a-reset-return-signoff-audit\G2B_G13A_RESET_SEMANTIC_PROOF.md
SF003,DESCRIPTOR_ATTEMPT_STABLE_PAYLOAD,,NONE,ATTEMPT,G2B_ONECH_C2H/desc_attempt_source_reg,^G2B_ONECH_C2H/desc_attempt_source_reg\[(?P<slot>[0-3])\]\[(?P<bit>[0-9]|[12][0-9]|3[01])\]$,slot=0..3;bit=0..31,nvp_vclk1,userclk1,PAYLOAD,DESCRIPTOR_COMMIT_CAPTURE,commit_toggle_source[slot]_to_commit_sync2_axi[slot],source descriptor commit followed by synchronized commit enqueue and AXI scheduler capture,ACTIVE_GROUP_10_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,Max Delay Datapath Only,6.000,ACTIVE_GROUP_10_DESCRIPTOR_ATTEMPT_SOURCE_TO_AXI,GOVERNED_GROUP_10_AND_SOURCE_PROTOCOL,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-lut1-signoff-recovery\G2B_LUT1_GROUPS10_17_RESULTS.csv
SF004,DESCRIPTOR_GENERATION_STABLE_PAYLOAD,,NONE,GENERATION,G2B_ONECH_C2H/desc_generation_source_reg,^G2B_ONECH_C2H/desc_generation_source_reg\[(?P<slot>[0-3])\]\[(?P<bit>[0-9]|1[0-9]|2[0-3])\]$,slot=0..3;bit=0..23,nvp_vclk1,userclk1,PAYLOAD,DESCRIPTOR_COMMIT_CAPTURE,commit_toggle_source[slot]_to_commit_sync2_axi[slot],source descriptor commit followed by synchronized commit enqueue and AXI scheduler capture,ACTIVE_GROUP_11_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,Max Delay Datapath Only,6.000,ACTIVE_GROUP_11_DESCRIPTOR_GENERATION_SOURCE_TO_AXI,GOVERNED_GROUP_11_AND_SOURCE_PROTOCOL,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-lut1-signoff-recovery\G2B_LUT1_GROUPS10_17_RESULTS.csv
SF005,DESCRIPTOR_EPOCH_STABLE_PAYLOAD,,NONE,EPOCH,G2B_ONECH_C2H/desc_epoch_source_reg,^G2B_ONECH_C2H/desc_epoch_source_reg\[(?P<slot>[0-3])\]\[(?P<bit>[0-9]|[12][0-9]|3[01])\]$,slot=0..3;bit=0..31,nvp_vclk1,userclk1,PAYLOAD,DESCRIPTOR_COMMIT_CAPTURE,descriptor_commit_completion_token,source descriptor completion followed by AXI-domain capture,ACTIVE_GROUP_12_3NS_BUS_SKEW_AND_EXISTING_PROTOCOL_BARRIER,Max Delay Datapath Only,6.000,ACTIVE_GROUP_12_DESCRIPTOR_EPOCH_SOURCE_TO_AXI,GOVERNED_R2_AND_GROUP_12,C:\FPGA\G2B_NVP_VIDEO_DIAG1_R1_20260909T203832Z\reports\vivado_full\BUS_SKEW_GROUPS\12_DESCRIPTOR_EPOCH_SOURCE_TO_AXI_BUS_SKEW.rpt
SF006,OWNERSHIP_STABLE_PAYLOAD,,NONE,SLOT,G2B_ONECH_C2H/own_slot_hold_axi_reg,^G2B_ONECH_C2H/own_slot_hold_axi_reg\[(?P<bit>[0-1])\]$,selected-slot-field;bit=0..1,userclk1,nvp_vclk1,PAYLOAD,OWNERSHIP_NORMAL|OWNERSHIP_MISMATCH|OWNERSHIP_DECISION,own_req_toggle_axi_to_own_req_sync2_source,own_ack_toggle_source_to_own_ack_sync2_axi,GROUP_9_EARLIEST_USE_13.468NS_AND_6NS_SETTLING_CAP,Max Delay Datapath Only,6.000,GROUP_9_CHECKS_1_TO_3_OWNERSHIP_MAILBOX,GOVERNED_GROUP_9_LOGICAL_ALIAS,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-bs3-ownership-mailbox-settling-proof\G2B_BS3_OWNERSHIP_PROTOCOL_MODEL.md
SF007,OWNERSHIP_STABLE_PAYLOAD,,NONE,SLOT,G2B_ONECH_C2H/axis_slot_reg,^G2B_ONECH_C2H/axis_slot_reg\[(?P<bit>[0-1])\]$,selected-slot-field;bit=0..1,userclk1,nvp_vclk1,PAYLOAD,OWNERSHIP_NORMAL|OWNERSHIP_MISMATCH|OWNERSHIP_DECISION,own_req_toggle_axi_to_own_req_sync2_source,own_ack_toggle_source_to_own_ack_sync2_axi,GROUP_9_EARLIEST_USE_13.468NS_AND_6NS_SETTLING_CAP,Max Delay Datapath Only,6.000,GROUP_9_CHECKS_1_TO_3_OWNERSHIP_MAILBOX,GOVERNED_GROUP_9_ROUTED_ALIAS,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-bs3-ownership-mailbox-settling-proof\G2B_BS3_OWNERSHIP_PROTOCOL_MODEL.md
SF008,OWNERSHIP_STABLE_PAYLOAD,,NONE,GENERATION,G2B_ONECH_C2H/own_generation_hold_axi_reg,^G2B_ONECH_C2H/own_generation_hold_axi_reg\[(?P<bit>[0-9]|1[0-9]|2[0-3])\]$,selected-slot-field;bit=0..23,userclk1,nvp_vclk1,PAYLOAD,OWNERSHIP_NORMAL|OWNERSHIP_MISMATCH|OWNERSHIP_DECISION,own_req_toggle_axi_to_own_req_sync2_source,own_ack_toggle_source_to_own_ack_sync2_axi,GROUP_9_EARLIEST_USE_13.468NS_AND_6NS_SETTLING_CAP,Max Delay Datapath Only,6.000,GROUP_9_CHECKS_1_TO_3_OWNERSHIP_MAILBOX,GOVERNED_GROUP_9_LOGICAL_ALIAS,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-bs3-ownership-mailbox-settling-proof\G2B_BS3_OWNERSHIP_PROTOCOL_MODEL.md
SF009,OWNERSHIP_STABLE_PAYLOAD,,NONE,GENERATION,G2B_ONECH_C2H/axis_generation_reg,^G2B_ONECH_C2H/axis_generation_reg\[(?P<bit>[0-9]|1[0-9]|2[0-3])\]$,selected-slot-field;bit=0..23,userclk1,nvp_vclk1,PAYLOAD,OWNERSHIP_NORMAL|OWNERSHIP_MISMATCH|OWNERSHIP_DECISION,own_req_toggle_axi_to_own_req_sync2_source,own_ack_toggle_source_to_own_ack_sync2_axi,GROUP_9_EARLIEST_USE_13.468NS_AND_6NS_SETTLING_CAP,Max Delay Datapath Only,6.000,GROUP_9_CHECKS_1_TO_3_OWNERSHIP_MAILBOX,GOVERNED_GROUP_9_ROUTED_ALIAS,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-bs3-ownership-mailbox-settling-proof\G2B_BS3_OWNERSHIP_PROTOCOL_MODEL.md
SF010,OWNERSHIP_STABLE_PAYLOAD,,NONE,EPOCH,G2B_ONECH_C2H/own_epoch_hold_axi_reg,^G2B_ONECH_C2H/own_epoch_hold_axi_reg\[(?P<bit>[0-9]|[12][0-9]|3[01])\]$,selected-slot-field;bit=0..31,userclk1,nvp_vclk1,PAYLOAD,OWNERSHIP_NORMAL|OWNERSHIP_MISMATCH|OWNERSHIP_DECISION,own_req_toggle_axi_to_own_req_sync2_source,own_ack_toggle_source_to_own_ack_sync2_axi,GROUP_9_EARLIEST_USE_13.468NS_AND_6NS_SETTLING_CAP,Max Delay Datapath Only,6.000,GROUP_9_CHECKS_1_TO_3_OWNERSHIP_MAILBOX,GOVERNED_GROUP_9_LOGICAL_ALIAS,C:\FPGA\V41_G2B_EVIDENCE\v41-development-g2b-bs3-ownership-mailbox-settling-proof\G2B_BS3_OWNERSHIP_PROTOCOL_MODEL.md
