gate,result,evidence
"SOURCE_AUTHORITY","PASS","exact branch/commit/tree and clean tracked worktree"
"G2B_FUNCTIONAL_BODY_IDENTITY","PASS","diagnostic taps only"
"BOTH_ROUTED_DCP_IDENTITIES","PASS","exact SHA-256"
"RAW_CDC_REPRODUCTION","PASS","427 Critical; 874 Warning"
"DESTINATION_CONE_EXTRACTION","PASS","522/522"
"SAME_FAMILY_CRITICAL","PASS","295/295"
"CROSS_FAMILY_SUPPORT_SET","PASS","7/7"
"SAME_FAMILY_WARNING","PASS","217/217"
"COMPOSITE_RELEASE_TOKEN","PASS","3/3"
"PROFILE_SPECIFIC_CDC_MANIFEST_V2","PASS","1337 rows; zero unreconciled"
"ROUTED_SIGNOFF","PASS","terminal signoff receipt"
"PHASE_N_PRODUCT_BASELINE_DOUBLE_READ_HOST_LEDGER","BLOCKED","NVP_DIAG1_R2R1_FROZEN_BASELINE_DOUBLE_READ_AND_HOST_LEDGER_CAPABILITY_ABSENT"
"HARDWARE_SCAN","NOT_REACHED","hardware gate not open"
"PRODUCT_BASELINE_RESTORE","NOT_REACHED_NOT_REQUIRED","no hardware access"
"EVIDENCE_PUBLICATION","PENDING","local package only"
