entry_index,group,bank,register,channel_scope,meaning,classification,post_restore_rule
0,G0-PRE,0x00,0xA8,ALL_CH_BITS,NOVID pre-bookend,LIVE_STATUS_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
1,G0-ID,0x00,0xF4,CHIP,device ID,IDENTITY_STABLE,EXACT_EQUAL
2,G0-ID,0x00,0xF5,CHIP,revision ID,IDENTITY_STABLE,EXACT_EQUAL
3,G0-ID,0x00,0x80,CHIP,per-channel register control mask,CONFIGURATION_STABLE,EXACT_EQUAL
4,G0-LOCK,0x00,0xA8,CHIP_OR_PACKED_CHANNELS,NOVID live status,LIVE_STATUS_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
5,G0-LOCK,0x00,0xB0,CHIP_OR_PACKED_CHANNELS,latched/held NOVID status; B0 itself is not a documented clear trigger,LIVE_STATUS_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
6,G0-LOCK,0x00,0xE0,CHIP_OR_PACKED_CHANNELS,AGC lock bits,LIVE_STATUS_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
7,G0-LOCK,0x00,0xE1,CHIP_OR_PACKED_CHANNELS,clamp/comparator lock bits,LIVE_STATUS_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
8,G0-LOCK,0x00,0xE2,CHIP_OR_PACKED_CHANNELS,horizontal lock bits,LIVE_STATUS_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
9,G0-LOCK,0x00,0x7A,CHIP_OR_PACKED_CHANNELS,channel 1/2 data-out mode,CONFIGURATION_STABLE,EXACT_EQUAL
10,G0-LOCK,0x00,0x7B,CHIP_OR_PACKED_CHANNELS,channel 3/4 data-out mode,CONFIGURATION_STABLE,EXACT_EQUAL
11,G0-CH,0x00,0xE8,CH1,FSC change/color-kill/FSC-lock/NOVID packed status,LIVE_STATUS_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
12,G0-CH,0x00,0x81,CH1,SD/AHD mode selection,CONFIGURATION_STABLE,EXACT_EQUAL
13,G0-CH,0x00,0x85,CH1,special-mode selection,CONFIGURATION_STABLE,EXACT_EQUAL
14,G0-CH,0x00,0x23,CH1,YC/color-kill configuration readback,CONFIGURATION_STABLE,EXACT_EQUAL
15,G0-CH,0x00,0xE9,CH2,FSC change/color-kill/FSC-lock/NOVID packed status,LIVE_STATUS_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
16,G0-CH,0x00,0x82,CH2,SD/AHD mode selection,CONFIGURATION_STABLE,EXACT_EQUAL
17,G0-CH,0x00,0x86,CH2,special-mode selection,CONFIGURATION_STABLE,EXACT_EQUAL
18,G0-CH,0x00,0x27,CH2,YC/color-kill configuration readback,CONFIGURATION_STABLE,EXACT_EQUAL
19,G0-CH,0x00,0xEA,CH3,FSC change/color-kill/FSC-lock/NOVID packed status,LIVE_STATUS_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
20,G0-CH,0x00,0x83,CH3,SD/AHD mode selection,CONFIGURATION_STABLE,EXACT_EQUAL
21,G0-CH,0x00,0x87,CH3,special-mode selection,CONFIGURATION_STABLE,EXACT_EQUAL
22,G0-CH,0x00,0x2B,CH3,YC/color-kill configuration readback,CONFIGURATION_STABLE,EXACT_EQUAL
23,G0-CH,0x00,0xEB,CH4,FSC change/color-kill/FSC-lock/NOVID packed status,LIVE_STATUS_DYNAMIC,OBSERVE_DIFFERENCE_ALLOWED
24,G0-CH,0x00,0x84,CH4,SD/AHD mode selection,CONFIGURATION_STABLE,EXACT_EQUAL
25,G0-CH,0x00,0x88,CH4,special-mode selection,CONFIGURATION_STABLE,EXACT_EQUAL
26,G0-CH,0x00,0x2F,CH4,YC/color-kill configuration readback,CONFIGURATION_STABLE,EXACT_EQUAL
27,G1,0x01,0x97,PACKED_CHANNELS,channel reset/power control,CONFIGURATION_STABLE,EXACT_EQUAL
28,G1,0x01,0x98,PACKED_CHANNELS,channel reset/power control,CONFIGURATION_STABLE,EXACT_EQUAL
29,G1,0x01,0x84,CH1,ADC clock selection,CONFIGURATION_STABLE,EXACT_EQUAL
30,G1,0x01,0x8C,CH1,pre/decoder clock selection,CONFIGURATION_STABLE,EXACT_EQUAL
31,G1,0x01,0x85,CH2,ADC clock selection,CONFIGURATION_STABLE,EXACT_EQUAL
32,G1,0x01,0x8D,CH2,pre/decoder clock selection,CONFIGURATION_STABLE,EXACT_EQUAL
33,G1,0x01,0x86,CH3,ADC clock selection,CONFIGURATION_STABLE,EXACT_EQUAL
34,G1,0x01,0x8E,CH3,pre/decoder clock selection,CONFIGURATION_STABLE,EXACT_EQUAL
35,G1,0x01,0x87,CH4,ADC clock selection,CONFIGURATION_STABLE,EXACT_EQUAL
