RelativePrivateAddress,RegisterName,DocumentedFunction,CH1_Bank,CH1_FinalValue,CH2_Bank,CH2_FinalValue,CH3_Bank,CH3_FinalValue,CH4_Bank,CH4_FinalValue,ExpectedEquivalenceClass,ObservedRelation,DifferenceClassification,SourceAuthority,PDFPage
0x00,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0xC0,0x06,SYM_B06_00_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_00_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_00_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x01,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_01_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_01_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_01_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x08,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x70,0x06,SYM_B06_08_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_08_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_08_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x11,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x04,0x06,SYM_B06_11_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_11_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_11_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x1B,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x20,0x06,SYM_B06_1B_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_1B_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_1B_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x20,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x84,0x06,SYM_B06_20_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_20_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_20_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x23,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x00,0x06,SYM_B06_23_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_23_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_23_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x24,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x10,0x06,SYM_B06_24_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_24_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_24_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x25,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0xCA,0x06,SYM_B06_25_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_25_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_25_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
0x26,VENDOR_PRIVATE_UNPUBLISHED,Banks 5-10 not for users; exact field meaning unavailable,0x05,0x30,0x06,SYM_B06_26_UNWRITTEN_RESET_DEFAULT,0x07,SYM_B07_26_UNWRITTEN_RESET_DEFAULT,0x08,SYM_B08_26_UNWRITTEN_RESET_DEFAULT,UNKNOWN_DOCUMENTATION,ONLY_BANK5_WRITTEN; BANK6_BANK7_BANK8_SYMBOLIC,UNWRITTEN_RESET_DEFAULT_WITH_UNKNOWN_DOCUMENTATION,nvp6134c_diagnostics_pkg.vhd:244-343; final value is last Bank5 write,"50,86 (private banks withheld); 88 (F0 channel mapping only)"
