Direction,RelativePrivateAddress,Bank5Sequence,Bank7Sequence,Bank6Sequence,Bank8Sequence,Pattern,RequiredForEveryChannel,CanAffectSAV,CausalStatus
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x00,0xC0;0xC0,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x01,0x02;0x00;0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x08,0x50;0x70,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x11,0x06;0x04,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x1B,0x20,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x20,0x84,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x23,0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x24,0x10,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x25,0xCA,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x26,0x30,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x27,0x57,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x29,0x30,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x2A,0x52;0x30,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x2B,0xA8,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x47,0x04,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x50,0x84,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x56,0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x57,0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x58,0x02;0x00;0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x59,0x11;0x00;0x11;0x00,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
BANK5_OR_BANK7_TO_BANK6_OR_BANK8,0x5B,0x03,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,UNWRITTEN_SYMBOLIC,ONLY_BANK5_WRITTEN,NOT_PROVEN_VENDOR_PRIVATE,UNKNOWN; source labels block AFE/EQ/geometry but fields unpublished,CANDIDATE_NOT_PROVEN; Bank7 works while equally unwritten
