Gate,Result,Detail
OWNER_CONTINUITY,ACCEPTED,Owner-attested state used
PRODUCT_WORKTREE_IMMUTABILITY,PASS,Clean at accepted commit
DIAGNOSTIC_SOURCE_BRANCH,PASS,Final commit pushed
SIMULATION,PASS,10/10
FUNCTIONAL_NONINTERFERENCE,PASS,T9 byte-identical
SYNTHESIS,PASS,Vivado completed
FULLY_ROUTED,PASS,0 unrouted and 0 partial nets
SETUP_TIMING,FAIL,WNS=-4.675ns TNS=-3545.498ns
HOLD_TIMING,PASS,WHS=0.031ns THS=0.000ns
DRC,PASS,0 errors 0 critical warnings
CDC,FAIL,624 DIAG1 critical rows with no disposition
RESOURCE_LIMITS,PASS,LUT=88.48% FF=49.60% BRAM=60.00%
BITSTREAM,NOT_REACHED,Timing gate stopped write_bitstream
HARDWARE,NOT_REACHED,Build gates not all PASS
TRACE,NOT_REACHED,No hardware access
ROOT_CAUSE,NOT_REACHED,No trace
