gate,result,evidence
TASK_CONTRACT_IDENTITY,PASS,25BFCFBBDF19DA4BA9F5BC71956B98434CB7BC11102C3A58FD727CBE000F9B02
SOURCE_PARENT_AUTHORITY,PASS,c7e16fa3da26545cef960a6c75427a3614c4b655
REFERENCE_IDENTITY,PASS,081ebbff9a2722d47acf16c680594be43cb179e2
PRIOR_EVIDENCE_AUTHORITY,PASS,96145a89f589b4858c77790746b2e3bf40be9dc4
EXACT_REFERENCE_SEQUENCE_EXTRACTION,PASS,source order 0x08 then 0x05
R1_FORWARD_SEQUENCE_CONSISTENCY,BLOCKED,ACQ1_COMPAT0_R1_REFERENCE_SEQUENCE_AUTHORITY_CONTRADICTION
TOUCHED_REGISTER_CLOSURE,NOT_REACHED,ACQ1_COMPAT0_R1_REFERENCE_SEQUENCE_AUTHORITY_CONTRADICTION
SOURCE_IMPLEMENTATION,NOT_REACHED,ACQ1_COMPAT0_R1_REFERENCE_SEQUENCE_AUTHORITY_CONTRADICTION
SIMULATION_HOST_44_OF_44,NOT_REACHED,0/44
FRESH_BUILD_SIGNOFF,NOT_REACHED,ACQ1_COMPAT0_R1_REFERENCE_SEQUENCE_AUTHORITY_CONTRADICTION
HARDWARE_ACTIVATION,NOT_REACHED,no DUT contact
CAMERA_GATE_AND_CAMPAIGN,NOT_REACHED,no Owner action requested
EVIDENCE_PUBLICATION,PASS_ON_COMMIT_PINNED_READBACK,post-commit gate
