gate,status,evidence
same_dcp,PASS,size_and_sha_unchanged_before_after
source_identity,PASS,exact_commit_and_tree_clean
target_top_route,PASS,exact_part_top_and_reused_38612_of_38612_route
ordered_active_xdc,PASS_REUSED_FINALIZE1,161_lines_exact_payload_sha
timing_final,PASS,one_min_max_whole_design_summary
drc_final,PASS_WARNINGS_MATCH_ACCEPTED_BASELINE,zero_errors_zero_critical_24_exact_baseline_warnings
cdc_local_realized,PASS,realized_cells_pins_clocks_resets_and_canonical_relations
cdc_full,NOT_RUN_SCOPED_PREPARE_ADMISSION,scoped_local_proof_only
resources,PASS_REUSED_EXACT_R2R8_DESIGN,19695_lut_margin_689
bus_skew,PASS_REUSED_EXACT_R2R8_DESIGN,11_of_11_minimum_slack_1.119_ns_new_calls_0
mandatory_bitgen_drc,PASS,zero_errors
write_bitstream,PASS,one_call_private_image_verified
hardware,NOT_RUN,dut_untouched
