"RULE","TRIGGER","IMMEDIATE_EXECUTED_TICKS","IMMEDIATE_OMITTED_VS_ALL_ACK","CACHE_RESULT","LATER_PATH_EFFECT","SHORTENING_INTERPRETATION"
"TARGET_WRITE_NACK","cur_error on INIT_TARGET_WRITE","61","0","unchanged except successful explicit-FF update is withheld","normal NEXT_OP advances slot","path-neutral for exact FF targets because data equals current bank"
"SELECTOR_WRITE_NACK","cur_error on INIT_BANK_WRITE","61","verify read 83 + target write 61","invalid","next same-bank real entry retries selection","immediate 144-tick omission is not necessarily net shortening"
"SELECTOR_VERIFY_NACK","cur_error on INIT_BANK_VERIFY","144","target write 61","invalid","next same-bank real entry retries selection","immediate 61-tick omission is not necessarily net shortening"
"SELECTOR_VERIFY_MISMATCH","ACKed verify returns wrong data","144","target write 61","invalid","next same-bank real entry retries selection","same control-flow cost as verify NACK"
"SELECTOR_RECOVERY_WITHIN_RUN_AFTER_WRITE_FAILURES","later selector+verify succeeds in same bank run","context dependent","prior target(s)","valid requested bank","adds retry operations relative cached targets","write-failure omissions can cancel completely"
"SELECTOR_RECOVERY_WITHIN_RUN_AFTER_VERIFY_FAILURE","later selector+verify succeeds in same bank run","context dependent","prior target(s)","valid requested bank","extra verify read remains","can lengthen by 83 ticks per prior verify failure"
"RUN_ENDS_WITHOUT_RECOVERY","m target entries; a selector-write failures and b verify failures; a+b=m","m*61+b*83","context dependent","invalid","next different-bank run selects in both actual and all-ACK paths","net shortening ticks = 144-(83*b)"
"RUN_ENDS_ONE_VERIFY_REST_WRITE_FAILURES","b=1; a=m-1","m*61+83","m targets","invalid","next requested bank differs","net shortening is 61 ticks for any m>=1"
"PREINIT_SELECTOR_WRITE_FAILURE","preinit force-bank0 write fails","61","preinit verify plus entire table path","invalid","goes directly to WAIT_INIT","large context-specific shortening; excluded by measured later first error"
"PREINIT_SELECTOR_VERIFY_FAILURE","preinit bank0 verify fails/mismatches","227","entire table path","invalid","goes directly to WAIT_INIT","large context-specific shortening; excluded by measured later first error"
"POST_READ_OR_WRITE_NACK","PH_WIN/OUT/AFE/RESTORE transaction error","61 or 83","0","post-bank direct-write bookkeeping only","fixed phase/index progression","path-neutral completion cost"
"R1_FIRST_ERROR","code02 step01 on slot0 bank00/reg80/data0F target write","61","0","bank0 remains verified","advances to slot1","path-neutral; later unavailable NACK record(s) caused net deficit"
