"MODEL_ELEMENT","EXACT_STATE_SEQUENCE_OR_COUNTER_RULE","STATE_TICK_ACTIONS","CLOCK_CYCLES_AT_50KHZ","CLOCK_CYCLES_AT_25KHZ","SOURCE_BASIS"
"STATE_TICK","tick_cnt traverses 0..DIVIDER inclusive","1","626","1251","DIVIDER=CLK_HZ/(I2C_HZ*2); tick when tick_cnt=DIVIDER"
"SETUP_OP","SETUP_OP","1","626","1251","one case action on tick"
"START_WRITE","START_W_A;START_W_B","2","1252","2502","one action per state"
"SEND_ADDRESS_W","SEND_W_LOW/HIGH repeated for 8 bits","16","10016","20016","two state actions per bit"
"ACK_ADDRESS_W","ACK_W_LOW;ACK_W_HIGH","2","1252","2502","NACK records but does not abort"
"SEND_REGISTER","SEND_REG_LOW/HIGH repeated for 8 bits","16","10016","20016","two state actions per bit"
"ACK_REGISTER","ACK_REG_LOW;ACK_REG_HIGH","2","1252","2502","NACK records but path continues"
"SEND_WRITE_DATA","SEND_DATA_LOW/HIGH repeated for 8 bits","16","10016","20016","write-only segment"
"ACK_WRITE_DATA","ACK_DATA_LOW;ACK_DATA_HIGH","2","1252","2502","write-only segment"
"REPEATED_START","REP_LOW;REP_HIGH;REP_START_A;REP_START_B","4","2504","5004","read-only segment"
"SEND_ADDRESS_R","SEND_R_LOW/HIGH repeated for 8 bits","16","10016","20016","read-only segment"
"ACK_ADDRESS_R","ACK_R_LOW;ACK_R_HIGH","2","1252","2502","read-only segment"
"READ_DATA","READ_LOW/HIGH repeated for 8 bits","16","10016","20016","read-only segment"
"MASTER_NACK","MASTER_NACK_LOW;MASTER_NACK_HIGH","2","1252","2502","read termination"
"STOP","STOP_A;STOP_B","2","1252","2502","common transaction tail"
"STORE_RESULT","STORE_RESULT","1","626","1251","common transaction tail"
"NEXT_OP","NEXT_OP","1","626","1251","common transaction/path branch"
"COMPLETE_WRITE_TRANSACTION","SETUP+START+ADDR_W+ACK_W+REG+ACK_REG+DATA+ACK_DATA+STOP+STORE+NEXT","61","38186","76311","exact state-action sum"
"COMPLETE_READ_TRANSACTION","SETUP+START+ADDR_W+ACK_W+REG+ACK_REG+REPSTART+ADDR_R+ACK_R+READ+MASTER_NACK+STOP+STORE+NEXT","83","51958","103833","exact state-action sum"
"NOP_SLOT","SETUP_OP;NEXT_OP","2","1252","2502","FD operation"
"TABLE_DELAY_WAIT","WAIT_SLOT counts 0..1000 inclusive","1001","626626","1252251","FE03E8 counter semantics"
"TABLE_DELAY_FULL_SLOT","SETUP_OP;1001 WAIT_SLOT actions;NEXT_OP","1003","627878","1254753","exact delay slot"
"FINAL_SETTLE","WAIT_INIT counts 0..12000 inclusive","12001","7512626","15013251","C_INIT_SETTLE_TICKS=12000"
"IDLE_START_ACCEPT","IDLE consumes latched start","1","626","1251","first modeled action"
"FINISH","FINISH asserts done and returns to IDLE","1","626","1251","last modeled action"
