RegisterIndex,Bank,Register,TouchCount,FirstOperationIndex,LastOperationIndex,OperationIndices,SourceSemanticFunctions,OperationTypes,RecoveryClass,RecoveryAction,SafeReadAuthority,ReadSideEffectAuthority,ProductReconstructionAuthority,EvidenceAuthority,Confidence,UnresolvedReason
1,0x00,0x00,3,2,176,2;54;176,nvp6134_set_chnmode;nvp6134_set_common_value;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
2,0x00,0x08,1,115,115,115,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
3,0x00,0x0C,1,63,63,63,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
4,0x00,0x10,1,64,64,64,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
5,0x00,0x14,1,65,65,65,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
6,0x00,0x18,2,66,114,66;114,nvp6134_setchn_ahd_1080p2530;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
7,0x00,0x21,1,67,67,67,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
8,0x00,0x22,2,3,68,3;68,nvp6134_set_common_value;nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
9,0x00,0x23,1,4,4,4,nvp6134_set_common_value,WRITE_FULL,EXACT_READ_RESTORE,CAPTURE_FULL_BYTE_BEFORE_FIRST_WRITE; REVERSE_RESTORE; VERIFY_0xFF,YES_OBSERVATIONAL_READ,NO_KNOWN_READ_SIDE_EFFECT,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REGISTER_AUTHORITY_MATRIX:NVP6134C_DATASHEET,HIGH_FOR_READ_RESTORE_MODEL,
10,0x00,0x30,2,5,123,5;123,nvp6134_set_common_value;nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
11,0x00,0x34,1,6,6,6,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
12,0x00,0x3C,1,69,69,69,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
13,0x00,0x40,1,116,116,116,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
14,0x00,0x44,1,70,70,70,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
