inventory_id,construct_family,search_scope,lexical_candidate_count,confirmed_vhdl2008_occurrences,production_synthesis_occurrences,testbench_only_occurrences,exact_locations,classification,rewrite_disposition,evidence_basis
V8_001,SEQUENTIAL_CONDITIONAL_SIGNAL_ASSIGNMENT,R1F_CHANGED_VHDL_LINES,1,1,1,0,"rtl/nvp/nvp6134c_i2c_bringup.vhd:994",VHDL2008_ONLY_PRODUCTION_BLOCKER,REWRITE_EXACT_IF_ELSE,"Exact source context is inside process(clk) / START_W_A; R1f terminal Vivado 2025.2 synthesis reported Synth 8-2757 at this exact line"
V8_002,SEQUENTIAL_SELECTED_SIGNAL_ASSIGNMENT,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"Changed-line inventory and exact context audit"
V8_003,CONDITIONAL_EXPRESSION,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"No parenthesized or nested conditional expression in the R1f VHDL delta"
V8_004,SELECTED_EXPRESSION,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"No selected expression in the R1f VHDL delta"
V8_005,ALL_KEYWORD_SENSITIVITY_LIST,R1F_CHANGED_VHDL_LINES,1,1,0,1,"tests/v41/tb_r1f_preinit_equivalence.vhd:49",VHDL2008_ONLY_TESTBENCH_HARNESS,NO_PRODUCTION_REWRITE,"New simulation-only testbench; absent from the frozen R1f production synthesis file list"
V8_006,MATCHING_CASE_OR_CASE_QUESTION,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"Changed-line inventory and exact context audit"
V8_007,MATCHING_RELATIONAL_OPERATOR,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"No ?= ?/= ?< ?> ?<= or ?>= token in the R1f VHDL delta"
V8_008,EXTERNAL_NAME,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"No external-name delimiter in the R1f VHDL delta"
V8_009,GENERIC_PACKAGE_TYPE_OR_SUBPROGRAM,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"Ordinary entity generics and local procedures are compatible with VIVADO_FILE_TYPE_VHDL_DEFAULT_NON_2008; no VHDL-2008 generic package/type/subprogram construct was introduced"
V8_010,RECORD_OR_ARRAY_FEATURE_REQUIRING_2008,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"All added std_logic_vector/unsigned arrays, slices, and aggregates use forms compatible with VIVADO_FILE_TYPE_VHDL_DEFAULT_NON_2008"
V8_011,CONTEXT_DECLARATION,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"No context declaration was introduced; std.env use clauses are separately inventoried"
V8_012,PROTECTED_TYPE,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"No protected type or protected body was introduced"
V8_013,VHDL2008_AGGREGATE_OR_PORT_MAP_FORM,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"Added aggregates use explicitly constrained targets or default-non-2008-compatible others associations; port maps use default-non-2008-compatible named associations"
V8_014,STD_ENV_CONTEXT_CLAUSE,R1F_CHANGED_VHDL_LINES,2,2,0,2,"tests/v41/tb_r1f_preinit_equivalence.vhd:4; tests/v41/tb_r1f_transaction_serial_counter.vhd:4",VHDL2008_ONLY_TESTBENCH_HARNESS,NO_PRODUCTION_REWRITE,"Both files are new simulation-only testbenches and are absent from the frozen R1f production synthesis file list"
V8_015,STD_ENV_STOP_STATEMENT,R1F_CHANGED_VHDL_LINES,2,2,0,2,"tests/v41/tb_r1f_preinit_equivalence.vhd:166; tests/v41/tb_r1f_transaction_serial_counter.vhd:59",VHDL2008_ONLY_TESTBENCH_HARNESS,NO_PRODUCTION_REWRITE,"Both statements terminate simulation-only testbenches and are absent from the frozen R1f production synthesis file list"
V8_016,FORCE_OR_RELEASE_STATEMENT,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"No VHDL force/release statement; the word release occurs only in comments/report strings describing open-drain behavior"
V8_017,UNBOUNDED_STANDARD_VECTOR_TYPE,R1F_CHANGED_VHDL_LINES,0,0,0,0,NONE,ABSENT,NO_REWRITE,"No integer_vector natural_vector boolean_vector or other VHDL-2008 predefined vector type was introduced"
V8_018,INSTALLED_FRONTEND_NAMED_LANGUAGE_ERROR,R1F_CHANGED_PRODUCTION_VHDL_LINES,1,1,1,0,"rtl/nvp/nvp6134c_i2c_bringup.vhd:994",DUPLICATE_CROSS_REFERENCE_TO_V8_001,REWRITE_EXACT_IF_ELSE,"Vivado 2025.2 build 6299465 terminal evidence: Synth 8-2757 this construct is only supported in VHDL 1076-2008"
