"file","change","old_line","new_line","line_sha256","synthesis_scope","construct_family","production_standard_class","disposition","source_text"
"rtl/nvp/nvp6134c_autoinit.vhd","DELETED","29","","FC3C76CD79C33A083BA387394FE4F25A664825DBA489302DE0B1DE1B733822B9","PRODUCTION_SYNTHESIS_SOURCE","REMOVED_R1E_LINE","NOT_APPLICABLE_REMOVED_LINE","PRESERVE_DIFF_HISTORY","    diag_detail  : out std_logic_vector(735 downto 0)"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","29","81BAB7347E5FA23F554F73720887B975301B0D370D385B8D460EF509219C1192","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","    diag_detail  : out std_logic_vector(735 downto 0);"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","30","B5F68FF787C4B285292F9CD854F745BC9D5BCE13A01C478EBD818625BA27EF0E","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","    r1f_phase_counters : out std_logic_vector(255 downto 0);"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","31","A02532EA5B3E5FCDDEAE431E3EE81808334032E7982B11826D0E4BDC0F11538E","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","    r1f_transaction_counters : out std_logic_vector(127 downto 0);"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","32","543035EB76E5DC3542EA67BFDB12BB1CA9C4C40BE85CEF5D01332AAAF52A5379","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","    r1f_transaction_serial_next : out std_logic_vector(15 downto 0);"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","33","9D47687D2F7683B2DBBB3A692AC200932F93FFCEF0C58293121967E1C8C5355D","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","    r1f_transaction_serial_overflow : out std_logic;"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","34","5B803E80422978CB6680B400F6ACE375B8E47BDB15DFFD5931275902DF2648E6","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","    r1f_failed_txn_record_valid : out std_logic;"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","35","A7033458EAF8776CB58CBCDD0B343C3287CB2E80C55FC747B247A11C049B8673","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","    r1f_failed_txn_record : out std_logic_vector(191 downto 0);"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","36","44A8E491862C8D4EEF93078DC61E3304AAB3528A458118885660D15C7CA891D5","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","    r1f_bank_invariant_check_count : out std_logic_vector(31 downto 0);"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","37","2D0157AF1E07C3152532165AB5B92FE593A9784E7DE3572EC7012618987DF465","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","    r1f_bank_invariant_error_count : out std_logic_vector(31 downto 0);"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","38","C322917F7249723923B6C3E3BC281384E2136AB4AB896386D1761B87D28606DE","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","    r1f_first_bank_invariant_error : out std_logic_vector(31 downto 0)"
"rtl/nvp/nvp6134c_autoinit.vhd","DELETED","236","","8AC8360C753467B887AD8C7558A805C21CE38867FB7DD164CBFFB62A9EF59D53","PRODUCTION_SYNTHESIS_SOURCE","REMOVED_R1E_LINE","NOT_APPLICABLE_REMOVED_LINE","PRESERVE_DIFF_HISTORY","      i2c_fsm_dbg           => diag_i2c_state"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","245","4E70F691A18FAA7B769F8B0F388E0569996D9E445B941F6BBE0BDA427444FDB9","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","      i2c_fsm_dbg           => diag_i2c_state,"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","246","8A344622CB06938FCA8C42D7A47534842610C072812CF8C6E6AB5B36EC08030B","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","      r1f_phase_counters_dbg => r1f_phase_counters,"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","247","32F793243FED2F7F1311FEDA6A71F671DF1FCF1ECA8195E47FE064630A497D25","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","      r1f_transaction_counters_dbg => r1f_transaction_counters,"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","248","C2C64C32318CC2BC7E010AD02C6024764CF8D3B6B138C8311E1AD3F54BBCBA42","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","      r1f_transaction_serial_next_dbg => r1f_transaction_serial_next,"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","249","27606BA1883215ECB71D0B0971EB63C8CF0FCE4B00C915A3A33D8A0806B975B3","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","      r1f_transaction_serial_overflow_dbg => r1f_transaction_serial_overflow,"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","250","8E99BC84CD4E7ECE9BC89662FDC71A2F583CFC6F071DC4E02D1CFD08A5473BB8","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","      r1f_failed_txn_record_valid_dbg => r1f_failed_txn_record_valid,"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","251","E34E7FB489337E0403CE1D07FB72D52AB697BE12E89E63ACFC27F08D2F3A1096","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","      r1f_failed_txn_record_dbg => r1f_failed_txn_record,"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","252","9B9F858F69A9F3EC1DA1CC641E16E6BD5AE097B6C393CF3F9C2977410C828C62","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","      r1f_bank_invariant_check_count_dbg => r1f_bank_invariant_check_count,"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","253","FC36B8171FC6F6ED344D3A9406A1CCBEA285DF3ED82B09B960D9920FFE993D22","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","      r1f_bank_invariant_error_count_dbg => r1f_bank_invariant_error_count,"
"rtl/nvp/nvp6134c_autoinit.vhd","ADDED","","254","A9E0F583C695113FB80F2978EB136465C890E555F7EDCB7099DF18D9AE7D148F","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","      r1f_first_bank_invariant_error_dbg => r1f_first_bank_invariant_error"
"rtl/nvp/nvp6134c_i2c_bringup.vhd","DELETED","74","","B7C5C6E1AD776DA4AB44388547FA5E2085DA240CAEE29A39481176C58511A06B","PRODUCTION_SYNTHESIS_SOURCE","REMOVED_R1E_LINE","NOT_APPLICABLE_REMOVED_LINE","PRESERVE_DIFF_HISTORY","    i2c_fsm_dbg           : out std_logic_vector(7 downto 0)"
"rtl/nvp/nvp6134c_i2c_bringup.vhd","ADDED","","74","15D413F4599BCD95A90AFA3BE14C00E62CF912AC27A7927426C23059353F298E","PRODUCTION_SYNTHESIS_SOURCE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_OR_STRUCTURAL_LINE","VIVADO_DEFAULT_NON_2008_COMPATIBLE_BY_EXACT_CONTEXT_AUDIT","NO_REWRITE","    i2c_fsm_dbg           : out std_logic_vector(7 downto 0);"
"rtl/nvp/nvp6134c_i2c_bringup.vhd","ADDED","","75","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","PRODUCTION_SYNTHESIS_SOURCE","COMMENT_OR_BLANK","NOT_EXECUTABLE_LANGUAGE_CONSTRUCT","NO_REWRITE",""
