Gate,Result,Reason
OwnerContinuity,ACCEPTED,No requalification
SignalSafety,PASS,Exact PID cmdline match
Recovery,BLOCKED,R3R4R6R2_RECOVERY_DUT_RECONNECT_TIMEOUT_AFTER_AUTHORIZED_WARM_REBOOT
NativeBuild,NOT_REACHED,Required DUT connection unavailable
HostToolGate,0_OF_7,Not executed
Characterization,NOT_REACHED,Recovery incomplete
MultiRequestPrequeue,NOT_REACHED,No submission
PrimaryFiniteCapture,NOT_REACHED,No capture
RecordIntegrity,NOT_REACHED,No records
BT656Qualification,NOT_REACHED,No records
CompleteFrame,NOT_REACHED,No frame
NormalCleanup,NOT_REACHED,Recovery unresolved
HistoricalPrequeueEffect,CONFIRMED_STRONG,Accepted Owner decision
