Signal,Direction,FPGA_Bank,FPGA_Preconfig_State_PUDC_LOW,FPGA_Preconfig_State_PUDC_HIGH,NVP_Rail_Off,Potential_Injection,External_Default_Required,Recommended_Default,Evidence,Status
VCLK1,NVP->FPGA,15 (E16),HZ + weak pull-up if inactive in confirmed Master SPI,HZ with no global pull if inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; exact path unknown,NO,No external bias; PUDC HIGH; sequence or isolate before NVP can drive into unpowered FPGA,"PCB-PIN proposed map; NVP datasheet p9 output; no powered-off Ioff spec",REQUIRES_NVP_POWERED_OFF_CONFIRMATION
VDO1[0],NVP->FPGA,15 (B16),HZ + weak pull-up if inactive in confirmed Master SPI,HZ with no global pull if inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; exact path unknown,NO,No external bias; PUDC HIGH; sequencing/isolation,"PCB-PIN proposed map; NVP datasheet p9 output; no powered-off Ioff spec",REQUIRES_NVP_POWERED_OFF_CONFIRMATION
VDO1[1],NVP->FPGA,15 (C16),HZ + weak pull-up if inactive in confirmed Master SPI,HZ with no global pull if inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; exact path unknown,NO,No external bias; PUDC HIGH; sequencing/isolation,"PCB-PIN proposed map; NVP datasheet p9 output; no powered-off Ioff spec",REQUIRES_NVP_POWERED_OFF_CONFIRMATION
VDO1[2],NVP->FPGA,15 (A17),HZ + weak pull-up if inactive in confirmed Master SPI,HZ with no global pull if inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; exact path unknown,NO,No external bias; PUDC HIGH; sequencing/isolation,"PCB-PIN proposed map; NVP datasheet p9 output; no powered-off Ioff spec",REQUIRES_NVP_POWERED_OFF_CONFIRMATION
VDO1[3],NVP->FPGA,15 (B17),HZ + weak pull-up if inactive in confirmed Master SPI,HZ with no global pull if inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; exact path unknown,NO,No external bias; PUDC HIGH; sequencing/isolation,"PCB-PIN proposed map; NVP datasheet p9 output; no powered-off Ioff spec",REQUIRES_NVP_POWERED_OFF_CONFIRMATION
VDO1[4],NVP->FPGA,15 (C17),HZ + weak pull-up if inactive in confirmed Master SPI,HZ with no global pull if inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; exact path unknown,NO,No external bias; PUDC HIGH; sequencing/isolation,"PCB-PIN proposed map; NVP datasheet p9 output; no powered-off Ioff spec",REQUIRES_NVP_POWERED_OFF_CONFIRMATION
VDO1[5],NVP->FPGA,15 (C18),HZ + weak pull-up if inactive in confirmed Master SPI,HZ with no global pull if inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; exact path unknown,NO,No external bias; PUDC HIGH; sequencing/isolation,"PCB-PIN proposed map; NVP datasheet p9 output; no powered-off Ioff spec",REQUIRES_NVP_POWERED_OFF_CONFIRMATION
VDO1[6],NVP->FPGA,15 (E17),HZ + weak pull-up if inactive in confirmed Master SPI,HZ with no global pull if inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; exact path unknown,NO,No external bias; PUDC HIGH; sequencing/isolation,"PCB-PIN proposed map; NVP datasheet p9 output; no powered-off Ioff spec",REQUIRES_NVP_POWERED_OFF_CONFIRMATION
VDO1[7],NVP->FPGA,15 (D18),HZ + weak pull-up if inactive in confirmed Master SPI,HZ with no global pull if inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; exact path unknown,NO,No external bias; PUDC HIGH; sequencing/isolation,"PCB-PIN proposed map; NVP datasheet p9 output; no powered-off Ioff spec",REQUIRES_NVP_POWERED_OFF_CONFIRMATION
VCLK2,NVP->FPGA,14 (R16),HZ + weak pull-up if inactive in confirmed Master SPI,HZ with no global pull if inactive,VDD3D=OFF and VDD1D=OFF,YES into unpowered NVP output pad; exact path unknown,NO,No external bias; PUDC HIGH; sequence or isolate,"PCB-PIN proposed map; NVP datasheet p9 output",REQUIRES_NVP_POWERED_OFF_CONFIRMATION
