Gate,Result,Evidence
SOURCE_AUTHORITY,PASS,fc37d815 / cdff3ea; scoped files only
MMIO_PROTOCOL_STATIC_CONTRACT,PASS,write no-response; read one held response
SIMULATION_25_OF_25,PASS,19 inherited plus T20-T25
FRESH_BUILD,PASS,fresh nonincremental Vivado 2025.2
TIMING,PASS,WNS +0.192 ns; WHS +0.015 ns
BUS_SKEW_AND_PROMOTED_METHODS,PASS,11/11 plus 17/17
CDC,PASS,profile-specific semantic manifest V3
DRC,PASS,0 errors; 0 critical warnings
METHODOLOGY,PASS,0 errors; 0 critical warnings
RESOURCE,PASS,routed LUT 89.779%
BITSTREAM,PASS,EC3A79064F03010E9E8B42A557DE57FA5E82849C1E2C37D2F3E662439211034F
PROGRAMMING,PASS,1 attempt; DONE=1
RUNTIME_IDENTITY,PASS,version 0x10002; caps 0xBFF
HARDWARE_MMIO_WRITE_READ,PASS,32/32; no recurrence
DOUBLE_PREPARE,PASS,26 transactions each; 0x88/0x88/0x00
SESSION_1_CAPTURE,PASS,2500/2500; complete red frame
SESSION_2_SOURCE_READINESS,FAIL,sav_delta=0; AIO not started
FOUR_BY_FOUR_SCAN,FAIL,1/16 captures; stopped at first failure
MULTICOLOR_BGDCOL,NOT_REACHED,only RED captured
PRODUCT_BASELINE_RESTORE,PASS,physical verify; historical error latch retained
CLEANUP,PASS,pending 0; driver/nodes/locks absent
ENGINEERING,FAIL,R3R4R6R2R4_LIVE_SOURCE_NOT_READY
EVIDENCE_PUBLICATION,PASS_SUBJECT_TO_REMOTE_READBACK,append-only directory
