PIN	SITE	IOBANK	PIN_FUNC	IS_CLK_CAPABLE	IS_GLOBAL_CLK	IS_CONFIG_PIN	IS_USER_ACCESSIBLE
A1			GND	0	0		
A2			MGTAVTT	0	0		
A3	IPAD_X1Y12	216	MGTPRXN1_216	0	0		
A4	IPAD_X1Y13	216	MGTPRXP1_216	0	0		
A5			GND	0	0		
A6		216	MGTRREF_216	0	0		
A7			GND	0	0		
A8			GND	0	0		
A9	IOB_X0Y93	15	IO_L3N_T0_DQS_AD1N_15	0	0		
A10	IOB_X0Y89	15	IO_L5N_T0_AD9N_15	0	0		
A11			GND	0	0		
A12	IOB_X0Y85	15	IO_L7N_T1_AD2N_15	0	0		
A13	IOB_X0Y84	15	IO_L8P_T1_AD10P_15	0	0		
A14	IOB_X0Y83	15	IO_L8N_T1_AD10N_15	0	0		
A15	IOB_X0Y79	15	IO_L10N_T1_AD11N_15	0	0		
A16		15	VCCO_15	0	0		
A17	IOB_X0Y69	15	IO_L15N_T2_DQS_ADV_B_15	0	0		
A18			GND	0	0		
B1	OPAD_X0Y6	216	MGTPTXN3_216	0	0		
B2	OPAD_X0Y7	216	MGTPTXP3_216	0	0		
B3			GND	0	0		
B4			MGTAVCC	0	0		
B5	IPAD_X1Y17	216	MGTREFCLK1N_216	0	0		
B6	IPAD_X1Y16	216	MGTREFCLK1P_216	0	0		
B7			GND	0	0		
B8			GND	0	0		
B9	IOB_X0Y94	15	IO_L3P_T0_DQS_AD1P_15	0	0		
B10	IOB_X0Y90	15	IO_L5P_T0_AD9P_15	0	0		
B11	IOB_X0Y91	15	IO_L4N_T0_15	0	0		
B12	IOB_X0Y86	15	IO_L7P_T1_AD2P_15	0	0		
B13		15	VCCO_15	0	0		
B14	IOB_X0Y80	15	IO_L10P_T1_AD11P_15	0	0		
B15	IOB_X0Y81	15	IO_L9N_T1_DQS_AD3N_15	0	0		
B16	IOB_X0Y70	15	IO_L15P_T2_DQS_15	0	0		
B17	IOB_X0Y67	15	IO_L16N_T2_A27_15	0	0		
B18			GND	0	0		
C1			MGTAVTT	0	0		
C2			GND	0	0		
C3	IPAD_X1Y24	216	MGTPRXN2_216	0	0		
C4	IPAD_X1Y25	216	MGTPRXP2_216	0	0		
C5			MGTAVCC	0	0		
C6			GND	0	0		
C7			GND	0	0		
C8	IOB_X0Y97	15	IO_L1N_T0_AD0N_15	0	0		
C9	IOB_X0Y95	15	IO_L2N_T0_AD8N_15	0	0		
C10		15	VCCO_15	0	0		
C11	IOB_X0Y92	15	IO_L4P_T0_15	0	0		
C12	IOB_X0Y87	15	IO_L6N_T0_VREF_15	0	0		
C13	IOB_X0Y77	15	IO_L11N_T1_SRCC_15	1	0		
C14	IOB_X0Y82	15	IO_L9P_T1_DQS_AD3P_15	0	0		
C15			GND	0	0		
C16	IOB_X0Y68	15	IO_L16P_T2_A28_15	0	0		
C17	IOB_X0Y64	15	IO_L18P_T2_A24_15	0	0		
C18	IOB_X0Y63	15	IO_L18N_T2_A23_15	0	0		
D1	OPAD_X0Y4	216	MGTPTXN2_216	0	0		
D2	OPAD_X0Y5	216	MGTPTXP2_216	0	0		
D3			GND	0	0		
D4			GND	0	0		
D5	IPAD_X1Y15	216	MGTREFCLK0N_216	0	0		
D6	IPAD_X1Y14	216	MGTREFCLK0P_216	0	0		
D7			GND	0	0		
D8	IOB_X0Y98	15	IO_L1P_T0_AD0P_15	0	0		
D9	IOB_X0Y96	15	IO_L2P_T0_AD8P_15	0	0		
D10	IOB_X0Y99	15	IO_0_15	0	0		
D11	IOB_X0Y88	15	IO_L6P_T0_15	0	0		
D12			GND	0	0		
D13	IOB_X0Y78	15	IO_L11P_T1_SRCC_15	1	0		
D14	IOB_X0Y75	15	IO_L12N_T1_MRCC_15	1	0		
D15	IOB_X0Y73	15	IO_L13N_T2_MRCC_15	1	0		
D16	IOB_X0Y71	15	IO_L14N_T2_SRCC_15	1	0		
D17		15	VCCO_15	0	0		
D18	IOB_X0Y65	15	IO_L17N_T2_A25_15	0	0		
E1			MGTAVTT	0	0		
E2			GND	0	0		
E3	IPAD_X1Y6	216	MGTPRXN0_216	0	0		
E4	IPAD_X1Y7	216	MGTPRXP0_216	0	0		
E5			MGTAVCC	0	0		
E6			GND	0	0		
E7			GND	0	0		
E8		0	CCLK_0	0	0		
E9			GND	0	0		
E10		0	VCCO_0	0	0		
E11		0	VCCBATT_0	0	0		
E12		0	CFGBVS_0	0	0		
E13	IOB_X0Y76	15	IO_L12P_T1_MRCC_15	1	0		
E14		15	VCCO_15	0	0		
E15	IOB_X0Y74	15	IO_L13P_T2_MRCC_15	1	0		
E16	IOB_X0Y72	15	IO_L14P_T2_SRCC_15	1	0		
E17	IOB_X0Y66	15	IO_L17P_T2_A26_15	0	0		
E18	IOB_X0Y51	15	IO_L24N_T3_RS0_15	0	0		
F1	OPAD_X0Y2	216	MGTPTXN1_216	0	0		
F2	OPAD_X0Y3	216	MGTPTXP1_216	0	0		
F3			MGTAVTT	0	0		
F4			GND	0	0		
F5			MGTAVCC	0	0		
F6			GND	0	0		
F7			VCCINT	0	0		
F8		0	TCK_0	0	0		
F9			VCCINT	0	0		
F10			GND	0	0		
F11			VCCBRAM	0	0		
F12		0	DONE_0	0	0		
F13		0	M2_0	0	0		
F14	IOB_X0Y55	15	IO_L22N_T3_A16_15	0	0		
F15	IOB_X0Y57	15	IO_L21N_T3_DQS_A18_15	0	0		
F16			GND	0	0		
F17	IOB_X0Y52	15	IO_L24P_T3_RS1_15	0	0		
F18	IOB_X0Y61	15	IO_L19N_T3_A21_VREF_15	0	0		
G1			GND	0	0		
G2			MGTAVTT	0	0		
G3	IPAD_X1Y30	216	MGTPRXN3_216	0	0		
G4	IPAD_X1Y31	216	MGTPRXP3_216	0	0		
G5			GND	0	0		
G6			GND	0	0		
G7			GND	0	0		
G8			VCCINT	0	0		
G9			GND	0	0		
G10			VCCBRAM	0	0		
G11			GND	0	0		
G12			VCCAUX	0	0		
G13			GND	0	0		
G14	IOB_X0Y56	15	IO_L22P_T3_A17_15	0	0		
G15	IOB_X0Y58	15	IO_L21P_T3_DQS_15	0	0		
G16	IOB_X0Y59	15	IO_L20N_T3_A19_15	0	0		
G17	IOB_X0Y62	15	IO_L19P_T3_A22_15	0	0		
G18		15	VCCO_15	0	0		
H1	OPAD_X0Y0	216	MGTPTXN0_216	0	0		
H2	OPAD_X0Y1	216	MGTPTXP0_216	0	0		
H3			GND	0	0		
H4			GND	0	0		
H5			GND	0	0		
H6			GND	0	0		
H7			VCCINT	0	0		
H8			GND	0	0		
H9			VCCINT	0	0		
H10			GND	0	0		
H11			VCCBRAM	0	0		
H12			GND	0	0		
H13			VCCAUX	0	0		
H14	IOB_X0Y50	15	IO_25_15	0	0		
H15		15	VCCO_15	0	0		
H16	IOB_X0Y60	15	IO_L20P_T3_A20_15	0	0		
H17	IOB_X0Y54	15	IO_L23P_T3_FOE_B_15	0	0		
H18	IOB_X0Y53	15	IO_L23N_T3_FWE_B_15	0	0		
J1			GND	0	0		
J2			GND	0	0		
J3			GND	0	0		
J4	IOB_X1Y45	34	IO_L2N_T0_34	0	0		
J5	IOB_X1Y46	34	IO_L2P_T0_34	0	0		
J6	IOB_X1Y49	34	IO_0_34	0	0		
J7			GND	0	0		
J8			VCCINT	0	0		
J9		0	GNDADC_0	0	0		
J10		0	VCCADC_0	0	0		
J11			GND	0	0		
J12			VCCINT	0	0		
J13			GND	0	0		
J14	IOB_X0Y40	14	IO_L5P_T0_D06_14	0	0		
J15	IOB_X0Y46	14	IO_L2P_T0_D02_14	0	0		
J16	IOB_X0Y45	14	IO_L2N_T0_D03_14	0	0		
J17			GND	0	0		
J18	IOB_X0Y44	14	IO_L3P_T0_DQS_PUDC_B_14	0	0		
K1	IOB_X1Y43	34	IO_L3N_T0_DQS_34	0	0		
K2	IOB_X1Y44	34	IO_L3P_T0_DQS_34	0	0		
K3	IOB_X1Y42	34	IO_L4P_T0_34	0	0		
K4			GND	0	0		
K5	IOB_X1Y47	34	IO_L1N_T0_34	0	0		
