gate,result,evidence
REMOTE_ROOT_BOOTSTRAP_GATE,PASS,fresh contained DUT root
LOCAL_RUNTIME_BUNDLE_GATE,PASS,21 total files including manifest
DUT_RUNTIME_BUNDLE_GATE,PASS,byte and origin verification
CONTROLLER_LOCK,PASS,held then released last
DUT_LOCK,PASS,held then released before controller
EXACT_BITSTREAM_IDENTITY,PASS,6DACBFFF9B6DA0A904B2A49B18C9BA59695DBA04B834A8A758AD44184769443E
FPGA_SRAM_PROGRAMMING,PASS,1 attempt; volatile SRAM only
WARM_REBOOT,PASS,1 delivery; no power-cycle
DRIVER_LOAD,PASS,exact xdma_ahd_pcie; one endpoint
RUNTIME_SCANNER_IDENTITY,PASS,2773DFA86ABEC87EF1E5BFB6F093D83BD8FCB4382B51B1792F3B7E8E302A1B2B
MMIO_WRITE_READ_SANITY,PASS,"16/16; CSV artifact-only correction, no repeat"
SINGLE_SCAN_INTEGRITY,PASS,82/10/105; immutable before ACK
REPETITION_SCAN_INTEGRITY,PASS,256/256
VIDEO_DMA_NONINTERFERENCE,PASS,3/3 captures; overlap proved
PHYSICAL_PHASE_A_BASELINE,PASS,5/5
PHYSICAL_PHASE_B_CONNECTED,PASS,10/10
PHYSICAL_PHASE_C_RETURN_CONTROL,PASS,5/5
OFF_ON_OFF_CAMPAIGN,PASS,20/20; 0 A8 exclusions
FINAL_CLEANUP,PASS,driver and locks released safely
EVIDENCE_PUBLICATION,PASS_ON_REQUIRED_COMMIT_PINNED_READBACK,evaluated after commit
