public_path,original_controller_sha256,disposition,role
tools/acquire_controller_lock.ps1,C76D8704013E67E21E3EC202BEB6D7938BF0DB41AF592D354F428C40C2105DE2,EXECUTED_CONTROLLING,controller_lock
tools/prelock_identity_exclusivity_readonly.sh,CE143ED0EE7AB2B39E6133E2D3AB2271666241514F211D722F13C08DC5FBE00B,EXECUTED_FAIL_SUPERSEDED,prelock_v1
tools/run_prelock_identity_exclusivity.ps1,2CEFF1102F083745A1334CB709EBDD0A4E27EC9BD9F54433780CB53EC1A98828,EXECUTED_FAIL_SUPERSEDED,prelock_v1_wrapper_prior_r1_helper
tools/prelock_identity_exclusivity_readonly_v2.sh,9E1A8D8740F34559EDF1C2B8179D32EA65BF772E28E870332D0A123B79BC3FAD,EXECUTED_CONTROLLING,prelock_v2
tools/run_prelock_identity_exclusivity_v2.ps1,C474796F3A4C4167C1DC7B035B9F5E2228F0B304C8FFD5495921F3BF561E1F79,EXECUTED_CONTROLLING,prelock_v2_wrapper_prior_r1_helper
tools/run_acquire_linux_lock.ps1,13B1E6D3B4E4853691215D35EA573CC41B0D8697FC17F2551382432D59BD4999,EXECUTED_LOCAL_REMOTE_PREEXEC_BLOCK,linux_lock_v1_wrapper
tools/acquire_linux_lock_v2.sh,788401AB3279557539232AF2C24EFB159F9305E4FE78205775E9BA1DB75B631C,EXECUTED_CONTROLLING,linux_lock_v2
tools/run_acquire_linux_lock_v2.ps1,F3C662AEF4D2A10FF8D651A458912DEE352BCF393729B529021C7928FEBC302E,EXECUTED_CONTROLLING,linux_lock_v2_wrapper
tools/run_jtag_inventory.ps1,E53AD3153E514FDABBE9664CE8977CF7BE65BB921CB138A47411252B249A00D0,EXECUTED_SUPERSEDED,prior_r2_tcl_wrapper
tools/cleanup_task_jtag_processes.ps1,110037F6D4B06052906691E9233942BE41FA5DB211471A0AA681B54335F3C3C1,EXECUTED_SUPPORTING,jtag_process_cleanup
tools/t0_pcie_inventory_readonly.sh,5BFA5F9FC1D8B9FD8D009262A615D28818780EE46D71CE77A357917603E04FD7,EXECUTED_CONTROLLING,t0_pcie
tools/run_t0_pcie_inventory.ps1,AE605279A700DBDDCAA3018F002C16881A79CC01E4E2EB66BA4D5703C4885458,EXECUTED_CONTROLLING,t0_pcie_wrapper
tools/verify_sealed_module_readonly.sh,386DB710FA806D3F2393422C6FBEC227F6554B706B7E5E809C31838E4BC28309,EXECUTED_CONTROLLING,sealed_module_verifier
tools/run_verify_sealed_module.ps1,458C60D74229A13516F5DC87FAA03796C653D31E69DDB634BBCCEF19812F51BD,EXECUTED_PREEXEC_FAIL_SUPERSEDED,sealed_module_v1_wrapper
tools/run_verify_sealed_module_v2.ps1,5781E57A76470B3B488FB8776F64F77A127687FDEFB4A8E7CB01E2FA9778D8F4,EXECUTED_CONTROLLING,sealed_module_v2_wrapper
tools/controller_exclusivity_inventory.ps1,3D071F27FBBC490B351B4901C2CEC0AB6FA9B6C71A5336C1F8EBB1AE04DD83BA,EXECUTED_SUPPORTING,controller_exclusivity_v1
tools/controller_exclusivity_inventory_v2.ps1,EE46E9E1E7234E7C420024F560012EB9ABE727965CEFA89E88F23A5F71F5BB5E,EXECUTED_FAIL_PRESERVED,controller_exclusivity_v2
tools/controller_exclusivity_inventory_v3.ps1,9B0B47031606DD761E61F8A53D71BA6E62CB6DECDDDD614394CC16075BDA859F,EXECUTED_SUPPORTING,controller_exclusivity_v3
tools/controller_exclusivity_inventory_v4.ps1,A825066EE97788052CBD9CE4B5DEA8B6E5AB5C99BD4FD690D1FA99131C1B8FE6,EXECUTED_FAIL_PRESERVED,controller_exclusivity_v4
tools/controller_exclusivity_inventory_v5.ps1,4ED65B241086C3D4235A2607F3EFFA89FB0CB9B878D0ACE60F781322CF618245,EXECUTED_CONTROLLING,controller_exclusivity_v5
tools/exclusivity_deep_readonly.sh,9FAEC97426C69D33D5BBD646A42846626DF70C7EE7525980759434EB7C5F26A0,EXECUTED_CONTROLLING,dut_deep_inventory_source
tools/run_exclusivity_deep_readonly.ps1,FDC268E7127D09A77F6B356057AA91B17761C95596AE6E53823E8975FEE5DB5E,EXECUTED_SUPPORTING,dut_deep_inventory_v1_wrapper
tools/run_exclusivity_deep_readonly_v2.ps1,FC3A7A924002BA5B34863EADA3F419D781D698B406E5FF9E471F92B228B6774D,EXECUTED_CONTROLLING,dut_deep_inventory_v2_wrapper
tools/r3_select_jtag_target.tcl,12F0D139521BAFB6E4D243F27A08EAF5F84DB0C5234EE6AE55751BD63F3498E5,EXECUTED_CONTROLLING,r3_local_jtag_selector
tools/r3_jtag_t0_session.tcl,ABB3EDC3D1526936134FB4BBF809F1C0FC4921E8F26E7F570ADF75F5EF06CDB6,EXECUTED_CONTROLLING,r3_local_jtag_session
tools/run_jtag_inventory_r3_local.ps1,9E01305F92675D072D20B2803DC9384BAC8D9CB974663A2C9DA79E03824C86A2,EXECUTED_CONTROLLING,r3_local_jtag_wrapper
tools/verify_offline_authority_r3.ps1,F5729805221847944D2B6594390D007E2913011484805FD1698951088B057642,EXECUTED_CONTROLLING,authority_repeat_audit
tools/final_state_and_release_linux_lock.sh,7FDE5F9946653C607DA88821405975E9D7C2D1CB05B2A30AE9A31F64F474E657,EXECUTED_CONTROLLING,final_state_linux_release
tools/publish_and_run_final_linux_release.ps1,DBAA5764B72A85AE9DFE866DD3704BA75F20082A8F3B2DDED48BDF8CB5E3E42B,EXECUTED_CONTROLLING,final_state_wrapper
tools/release_controller_lock.ps1,544777F282915216903CE497A9558F24778E60091581276A83CA8ACE2D082B14,EXECUTED_CONTROLLING,controller_lock_release
