RowID	Rule	Severity	DestinationEndpoint	ProductPhysicalSource	DiagnosticPhysicalSource	SourceClock	DestinationClock	Exception	SemanticFamily	GoverningToken	ProtocolProof	EarliestUseBarrier	ReplacementGroup
CDC1-CHG-0001	CDC-1	Critical	G2B_ONECH_C2H/axi_hard_episode_reg/D	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0002	CDC-1	Critical	G2B_ONECH_C2H/axis_state_reg[0]/D	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0003	CDC-1	Critical	G2B_ONECH_C2H/axis_state_reg[1]/D	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0004	CDC-1	Critical	G2B_ONECH_C2H/axis_state_reg[2]/D	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0005	CDC-1	Critical	G2B_ONECH_C2H/commit_fifo_count_reg[0]/D	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0006	CDC-1	Critical	G2B_ONECH_C2H/commit_fifo_count_reg[1]/D	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0007	CDC-1	Critical	G2B_ONECH_C2H/commit_fifo_count_reg[2]/D	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0008	CDC-1	Critical	G2B_ONECH_C2H/commit_fifo_head_reg[0]/D	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0009	CDC-1	Critical	G2B_ONECH_C2H/commit_fifo_head_reg[1]/D	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0010	CDC-1	Critical	G2B_ONECH_C2H/commit_fifo_tail_reg[0]/D	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0011	CDC-1	Critical	G2B_ONECH_C2H/commit_fifo_tail_reg[1]/D	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0012	CDC-1	Critical	G2B_ONECH_C2H/commit_seen_axi_reg[0]/CE	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0013	CDC-1	Critical	G2B_ONECH_C2H/commit_seen_axi_reg[1]/CE	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0014	CDC-1	Critical	G2B_ONECH_C2H/commit_seen_axi_reg[2]/CE	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0015	CDC-1	Critical	G2B_ONECH_C2H/commit_seen_axi_reg[3]/CE	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0016	CDC-1	Critical	G2B_ONECH_C2H/global_stream_next_axi_reg[0]/CE	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0017	CDC-1	Critical	G2B_ONECH_C2H/global_stream_next_axi_reg[10]/CE	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0018	CDC-1	Critical	G2B_ONECH_C2H/global_stream_next_axi_reg[11]/CE	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0019	CDC-1	Critical	G2B_ONECH_C2H/global_stream_next_axi_reg[12]/CE	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0020	CDC-1	Critical	G2B_ONECH_C2H/global_stream_next_axi_reg[13]/CE	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0021	CDC-1	Critical	G2B_ONECH_C2H/global_stream_next_axi_reg[14]/CE	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0022	CDC-1	Critical	G2B_ONECH_C2H/global_stream_next_axi_reg[15]/CE	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
CDC1-CHG-0023	CDC-1	Critical	G2B_ONECH_C2H/global_stream_next_axi_reg[16]/CE	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[1]/C	G2B_ONECH_C2H/reset_commit_phase_hold_source_reg[0]/C	nvp_vclk1	userclk1	Max Delay Datapath Only	RESET_COMMIT_STABLE_PAYLOAD	commit_sync2_axi[3:0]_completion_barrier	transport request/ack plus synchronized four-slot commit equality	GROUP_13_EARLIEST_USE_GE_32NS_AND_6NS_SETTLING_CAP	GROUP_13_CHECK_5_RESET_COMMIT_PHASE_COMPLETION_BARRIER
