fixture,mode,role,receipt,target_match,done_samples,expected_precondition,actual_precondition,result
B0,BOOTSTRAP_FROM_STABLE_UNKNOWN_SRAM,FORMAL_BOOTSTRAP,NO_RECEIPT_REQUIRED,1,0|0|0|0|0,PASS,PASS,PASS
B1,BOOTSTRAP_FROM_STABLE_UNKNOWN_SRAM,FORMAL_BOOTSTRAP,NO_RECEIPT_REQUIRED,1,1|1|1|1|1,PASS,PASS,PASS
B2,BOOTSTRAP_FROM_STABLE_UNKNOWN_SRAM,FORMAL_BOOTSTRAP,NO_RECEIPT_REQUIRED,1,UNREADABLE|UNREADABLE|UNREADABLE|UNREADABLE|UNREADABLE,FAIL_UNREADABLE_OR_UNSTABLE_DONE,FAIL_UNREADABLE_OR_UNSTABLE_DONE,PASS
B3,BOOTSTRAP_FROM_STABLE_UNKNOWN_SRAM,FORMAL_BOOTSTRAP,NO_RECEIPT_REQUIRED,1,0|0|1|1|1,FAIL_UNREADABLE_OR_UNSTABLE_DONE,FAIL_UNREADABLE_OR_UNSTABLE_DONE,PASS
B4,BOOTSTRAP_FROM_STABLE_UNKNOWN_SRAM,FORMAL_BOOTSTRAP,NO_RECEIPT_REQUIRED,1,0|0|0|0|0,PASS,PASS,PASS
T0,TRANSITION_FROM_PROVEN_CONFIGURED_IMAGE,ARM_A_R1E,FORMAL_READY_RECEIPT,1,1|1|1|1|1,PASS,PASS,PASS
T1,TRANSITION_FROM_PROVEN_CONFIGURED_IMAGE,ARM_A_R1E,FORMAL_READY_RECEIPT,1,0|0|0|0|0,FAIL_PROVEN_CONFIGURED_IMAGE_LOST,FAIL_PROVEN_CONFIGURED_IMAGE_LOST,PASS
T2,TRANSITION_FROM_PROVEN_CONFIGURED_IMAGE,ARM_A_R1E,,1,1|1|1|1|1,FAIL_MISSING_OR_INVALID_CONFIGURED_IMAGE_RECEIPT,FAIL_MISSING_OR_INVALID_CONFIGURED_IMAGE_RECEIPT,PASS
T3,TRANSITION_FROM_PROVEN_CONFIGURED_IMAGE,ARM_A_R1E,VALID_ARM_A_RECEIPT,1,1|1|1|1|1,FAIL_MISSING_OR_INVALID_CONFIGURED_IMAGE_RECEIPT,FAIL_MISSING_OR_INVALID_CONFIGURED_IMAGE_RECEIPT,PASS
C2,BOOTSTRAP_FROM_STABLE_UNKNOWN_SRAM,FORMAL_BOOTSTRAP,NO_RECEIPT_REQUIRED,0,0|0|0|0|0,FAIL_SELECTED_TARGET_MISMATCH,FAIL_SELECTED_TARGET_MISMATCH,PASS
