Path,Size,SHA256,GitBlobSHA,LastModifyingCommit,FunctionSymbolRelevance,CopyrightHeaderPresent,LicenseStatus
nvp6134_drv.c,28069,F6AEEA5866E6315C04AB55935574A47CD9AEF5AA5041EDB28CBE3597B2BDE660,4af5f10c6a08b2a12f581f4e89f5898f721088f0,081ebbff9a2722d47acf16c680594be43cb179e2,"driver version, ioctl entry points, output routing integration",YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
video.c,198487,CBC10B8585CF9F300C47EBD40AACB08635EF62784CF94B691B722758BA49657A,e8da350e0f6d3b13aa7623e36604d8d5967dcf87,3613635dc7028a11e0108d16cc3326f37f783c8a,"getvideoloss, video_fmt_det, debounce, reset, set_chnmode, output routing",YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
video.h,9909,CB12F446D5ABCD0C549B3C29E66E830FC7C12ECF56448A1A7326C26895F1A0C7,b08292749ba87f84b83bbb48f959fe10ea2c86f0,3613635dc7028a11e0108d16cc3326f37f783c8a,"mode enums, detector/output data structures and prototypes",YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
eq.c,31829,136E673BA8D8423D3EDDE07A75DB4A8C043FA4886108D01A42AA5686AE114516,cdca31aa00a6997db821fee4fae4f38b4f413c6c,fbe893837e147401df2cd7aaec8333dff7e1d2e3,initial EQ and runtime EQ entry points,YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
eq.h,3905,DC2D1B48B114723649D4D34AA615F4EF97CA5086463CF04A06D316D719FCB443,398bd6ef8868343c6b723eb5f47d4bf6cc98bacd,fbe893837e147401df2cd7aaec8333dff7e1d2e3,EQ state and entry-point declarations,YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
eq_common.c,293283,13A17C85C0D433416DFA5045151860EA38841FCABC7E6C3FF50FB9829CA8F90B,1d830806225e6ecd882f86dceab6e40fec9a944f,fbe893837e147401df2cd7aaec8333dff7e1d2e3,format-discrimination metrics and adaptive EQ primitives,YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
eq_common.h,7482,19D272037149B5896853948AA7B0CDA7EF554646E4888D8C279AA6926F74342F,9ecdc8ad196724d3e2181a57385a11fe5fa09d12,fbe893837e147401df2cd7aaec8333dff7e1d2e3,EQ/discrimination declarations,YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
eq_recovery.c,11832,E9C3D1C1990826FE94C06DEE6ECC53D0D11CA5F0DD29A765CE50BAF08AD3F9F0,8afc9fdef5db171d5395e0d639a24f5dbb631243,fbe893837e147401df2cd7aaec8333dff7e1d2e3,loss/mode recovery semantics,YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
eq_recovery.h,1693,4082DE374208D590A920C9E4222190BDBD50506E2EA643262A5F359D87A66A2C,da2b6831e96db84c4c8b2a7e4687b7ca8799c4bb,fbe893837e147401df2cd7aaec8333dff7e1d2e3,recovery declarations,YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
common.h,10104,81E1D55940C5460A61BD51B377546D6F7E70802A8FDDF0B8E0D02B6689D8C922,4b77ed5245354afbbd7e9547d79472c84b51409a,c0fe3ed70a482ff9ee3b58f2932b0f85a32f5b1a,PAL/NTSC constants and shared types,YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
Makefile,1413,1238B2E618E5BC359C9D057048E3A19A5846FD57764FBD07A0D216CB51286F52,510472e44158d326de4720e79781a633e9c24496,fbe893837e147401df2cd7aaec8333dff7e1d2e3,reference build composition only; never executed,NO_EXPLICIT_HEADER_IN_FIRST_4K,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
docs/nvp6134_datasheet_release_v03_161025.pdf,4457791,BC64175739F5093846B10575B7DD3D1EAA0CB03FC732A3F39D246E0A54DEC0FC,a4ab6870745d901dfd5ac3c18b4bfcd5d5e7630f,6af1137905bf1cbeededfc0042fef81ea42bff0b,secondary NVP6134 register authority; not published,YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
acp.c,41606,51A5FCC78363A2387C2AA88E993CFFD06C717A94DACC964E79AA4DDF67376914,901a4751db448770636a4e87d6cc3ce568539e4e,fbe893837e147401df2cd7aaec8333dff7e1d2e3,ACP setup called by set_chnmode,YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
acp.h,3344,95EDE75312FC6B7B8C0A9D4A68A5055156EB5151B36EC196AF485C2F2399FD6E,4cc286d07d310a0271a6e96d02f83484ec160d27,fbe893837e147401df2cd7aaec8333dff7e1d2e3,ACP register constants,YES,NO_DECLARED_REPOSITORY_LICENSE_SEMANTIC_USE_ONLY
