Bank,Register,Hazard,NVP6134CDataSheetPage,SCAN1Disposition,Rationale
0x00,0xB8,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xB9,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xBA,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xBB,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xBC,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xBD,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xBE,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xC0,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xC1,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xC2,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xC3,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xC4,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xC5,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
0x00,0xC6,INTERRUPT_OR_LATCH_CLEAR_ON_READ_ADDRESS_CLASS,64,PROHIBITED,RD_STATE_CLR selects B8-BE or C0-C6 as clear-trigger range; SCAN1 has no CLR_LATCH.
