RawDetectorValues,ConvertedFormatValue,TechnologyFamily,Resolution,FrameRate,ScanType,ReferenceSourceAuthority,NVP6134CSupportAuthority,ProductSupportDisposition
0x00,0x01,CVBS,720x480,59.94i,interlaced,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x10,0x02,CVBS,720x576,50i,interlaced,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x20,0x04,AHD_OR_CVI,1280x720,30,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x21,0x08,AHD_OR_CVI,1280x720,25,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x22,0x51,AHD,1280x720,60,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x23,0x52,AHD,1280x720,50,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x2B,0x11,CVI,1280x720,30,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x2C,0x12,CVI,1280x720,25,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x25,0x31,TVI,1280x720,30,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x26,0x32,TVI,1280x720,24,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x29,0x34,TVI,1280x720,30,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x2A,0x38,TVI,1280x720,25,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x2D,0x51,CVI,1280x720,60,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x2E,0x52,CVI,1280x720,50,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x27,0x54,TVI,1280x720,60,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x28,0x58,TVI,1280x720,50,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x30,0x40,AHD_OR_CVI,1920x1080,30,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x31,0x80,AHD_OR_CVI,1920x1080,25,progressive,video.c:nvp6134_vfmt_convert:332-377,Rev1.0 p88 directly maps F0=0x31 to AHD_1080p25,ELIGIBLE_FOR_ACQ1
0x35,0x71,CVI,1920x1080,30,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x36,0x72,CVI,1920x1080,25,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x33,0x74,TVI,1920x1080,30,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x34,0x78,TVI,1920x1080,25,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x40,0x81,AHD,2560x1440,30,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x41,0x82,AHD,2560x1440,25,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x4F,0x83,AHD,2560x1440,15,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0xA0,0xA0,AHD,5MP,12.5,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0xA1,0xA1,AHD,5MP,20,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0xA2,0xA2,TVI,5MP,12.5,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x03_or_0x04,0x90,AHD,3MP,18,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x01_or_0x02_with_F2_high_nibble_0x2,0x91_or_0x92,AHD,3MP,30_or_25,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0x64,0x93,TVI,3MP,18,progressive,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
0xFF_or_default,0x00,UNKNOWN,unknown,unknown,unknown,video.c:nvp6134_vfmt_convert:332-377,NOT_FULLY_ESTABLISHED_FOR_PRODUCT,REPORT_AS_UNSUPPORTED_PRODUCT_FORMAT_NO_MODE_WRITE_NO_EQ_WRITE
