Gate,Result,Evidence
INHERITED_OFFLINE_SIGNOFF,PASS,R2R1
HOST_CONTROLLER_SEQUENCE,PASS,program-before-PREPARE; START hard-gated
EXACT_BITSTREAM_IDENTITY,PASS,9D1491CB6709ED623C985B2C9AEA53E2C360A68A77DB4680BEE9B8935A82D12F
FPGA_SRAM_PROGRAMMING,PASS,one program_hw_devices; DONE=1
PRODUCT_EQUIVALENT_AUTOINIT,PASS,status=0x000000F9; NACK=0; timeout=0
COMMANDED_WARM_REBOOT,PASS,one acknowledged reboot
DRIVER_AND_ENDPOINT,PASS,0000:01:00.0 Gen2 x1
RUNTIME_PRODUCT_IDENTITY,PASS,fcab95726761a0666a67e31c283dbdfb9e775074
RUNTIME_DIAGNOSTIC_IDENTITY,PASS,magic/version/capabilities
PREBASELINE_QUIESCENCE,PASS,CONTROL=0; STATUS=0x000000C4; no holder
INITIAL_DIAG_CLEAR,FAIL,STATUS=0xFFFFFFFF; ERROR=0xFFFFFFFF
PREPARE_A,NOT_REACHED,NVP_DIAG1_R2R2R1_DIAG_CLEAR_MMIO_PATH_BECAME_UNRESPONSIVE
PREPARE_B,NOT_REACHED,NVP_DIAG1_R2R2R1_DIAG_CLEAR_MMIO_PATH_BECAME_UNRESPONSIVE
DOUBLE_PREPARE_BASELINE,NOT_REACHED,NVP_DIAG1_R2R2R1_DIAG_CLEAR_MMIO_PATH_BECAME_UNRESPONSIVE
START_4X4_SCAN,NOT_REACHED,NVP_DIAG1_R2R2R1_DIAG_CLEAR_MMIO_PATH_BECAME_UNRESPONSIVE
CAPTURES_16,NOT_REACHED,0/16
PRODUCT_BASELINE_RESTORE,NOT_REACHED,no PREPARE_B; no scan NVP writes
FINAL_PENDING_AIO,PASS,0
DRIVER_NODES_FINAL,PASS,absent
LOCKS_RELEASED,PASS,Linux then controller-last
PCIE_AER_KERNEL_HEALTH,FAIL,unexpected DUT restart after MMIO hang
EVIDENCE_PUBLICATION,PENDING,evaluated after immutable commit/read-back
