Gate,Result,Blocker_or_basis
Authority and predecessor evidence,PASS,PROJECT_STATE_REV_8_AND_R3R3_VERIFIED
Credential helper static audit,PASS,PINNED_NO_SECRET_ARGUMENT_ACL_DELETE
Capture tool offline hard gate,FAIL,R3R4_CAPTURE_TOOL_HARD_GATE_FAILED
T0 continuity and exclusivity,NOT_REACHED,R3R4_CAPTURE_TOOL_HARD_GATE_FAILED
T1 driver load and node proof,NOT_REACHED,R3R4_CAPTURE_TOOL_HARD_GATE_FAILED
T2 runtime identity and source,NOT_REACHED,R3R4_CAPTURE_TOOL_HARD_GATE_FAILED
T3 persistent first record,NOT_REACHED,R3R4_CAPTURE_TOOL_HARD_GATE_FAILED
T4 finite capture and frame,NOT_REACHED,R3R4_CAPTURE_TOOL_HARD_GATE_FAILED
Cleanup,NOT_REQUIRED,NO_HARDWARE_ACCESS
Engineering,BLOCKED,R3R4_CAPTURE_TOOL_HARD_GATE_FAILED
