Gate,Result,Evidence
OWNER_CONTINUITY,PASS,Accepted without broad requalification
PHYSICAL_INPUT_MAP,PASS_PARTIAL,Internal route proven; connector missing
NVP_ROUTE_AUDIT,PASS,CH1/VIN1 to VDO1 to INPUT_0
NVP_RUNTIME_STATUS,LIMITATION,Not available in current PRODUCT
RUNTIME_IDENTITY,PASS,30b14d13b0b789b62b05ab513eb9578c7c43b11a
SOURCE_READINESS,PASS,NACK=0 INIT_ERROR=0
BASELINE_CAPTURE,PASS,2500/2500 exact
FRAME_STRUCTURE,PASS,Complete real 1920x1080 frame
PIXEL_ANALYSIS,PASS,All required metrics calculated
NONBLACK_PIXEL_CONTENT,FAIL_EXPECTED_DIAGNOSTIC,Exact digital black
INTERNAL_PATTERN,NOT_RUN,No safe documented runtime mechanism
CHANNEL_SCAN,NOT_RUN,No governed runtime route mechanism
NVP_RESTORE,NOT_APPLICABLE,No NVP writes
CLEANUP,PASS,"AIO 0, driver/nodes absent, locks released"
