sample,image,program_start_utc,program_end_done_utc,reboot_command_utc,host_disappear_utc,host_return_utc,baseline_utc,delay_done_to_reboot_ms,result
RC-A Run 1,RC-A,2026-08-20T12:51:19Z,UNKNOWN_NOT_RECORDED,2026-08-20T12:53:44.0904286Z,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,2026-08-20T12:56:33.289Z,UNKNOWN_NOT_RECORDED,PASS
RC-A Run 2,RC-A,2026-08-20T13:03:10Z,UNKNOWN_NOT_RECORDED,2026-08-20T13:04:50.157Z,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,2026-08-20T13:06:59.459Z,UNKNOWN_NOT_RECORDED,PASS
RC-A Run 3,RC-A,2026-08-20T13:11:54Z,UNKNOWN_NOT_RECORDED,2026-08-20T13:13:37.769Z,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,2026-08-20T13:14:56.090Z,UNKNOWN_NOT_RECORDED,PASS
v41 original Phase-3,v41 Phase-3,2026-08-18T07:12:57Z,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,FAIL
v41 same-bit retry,v41 Phase-3,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,FAIL
v41 Phase-2 A/B,v41 Phase-2,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,FAIL
v41 true-cold Phase-2,v41 Phase-2,2026-08-18T13:22:11Z,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,FAIL
v41 R2 observer,v41 R2,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,FAIL
v41 Z8,v41 Z8,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,FAIL
earlier accepted v41 Phase-2 NVP sanity,UNKNOWN,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,UNKNOWN_NOT_RECORDED,NOT_LOCATED
