"gate","result","reason"
"Authority and immutable boundary","PASS","Revision 8, all manifests pass, zero prior immutable differences"
"T0 cold-start program reboot","PASS","One SRAM program, one warm reboot, retained exact candidate"
"T1 driver bind nodes","PASS","Exact driver, automatic sole bind, node-to-BDF proof"
"T2 runtime MMIO live source","PASS","Exact identity, input 0 ready, NACK/init errors zero"
"T3 first-record qualification","BLOCKED","R3R3_ROLLBACK_UNSAFE_ACTIVE_DMA at capture-time; no retry authorized"
"First record boundary event","PASS","One exact 4096-byte record event before normal disable"
"Header payload padding epoch","NOT_REACHED","Record bytes not persisted after capture-time blocker"
"Counter reconciliation","NOT_REACHED","Final coherent snapshot not performed after first blocker"
"PCIe AER kernel health","PASS","No delta or fatal signature; Gen2 x1 retained"
"Safe cleanup","PASS","Fresh quiescence proof and one normal unload"
"Candidate retention","PASS","DONE 1 final, no second program/power cycle"
"2500 records frame reconstruction 60 seconds","NOT_RUN","Explicit R3R3 hard stop"
"Evidence publication","SEALED_PENDING_REMOTE_READBACK","Independent of engineering"
